seed,split,power_w,modality,window,lower_s,upper_s,lower_closed,upper_closed,sample_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c,delta_rmse_c,delta_mae_c,delta_signed_bias_c,empty_reason
0,validation,403.0,Hot,time_30_100_s,30.0,100.0,false,true,70,0.5359490321681996,0.39791652134486605,0.39791652134486605,1.0800125122070312,1.175537109375,0.426985328489032,0.3909419468470982,-0.23111179896763398,
0,validation,403.0,Hot,time_100_200_s,100.0,200.0,false,true,26,1.5173828207438624,1.5068934513972354,1.5068934513972354,1.766326904296875,1.786834716796875,0.8957510475568239,0.8778651310847356,0.8778651310847356,
0,validation,630.5,Hot,time_0_30_s,0.0,30.0,true,true,30,0.6477795221765699,0.41083780924479163,0.37505900065104164,1.3159576416015621,1.442596435546875,0.6529638646612368,0.6074869791666667,-0.3839436848958333,
0,validation,630.5,Hot,time_30_100_s,30.0,100.0,false,true,70,0.5325399419876398,0.4811854771205357,-0.4307835170200893,0.7160797119140625,0.726470947265625,1.2302908432946735,1.189786202566964,-1.189786202566964,
0,validation,630.5,Hot,time_100_200_s,100.0,200.0,false,true,50,0.4135938520624145,0.3772235107421875,-0.20447937011718748,0.5438751220703125,0.62713623046875,1.0283704260853441,0.9634820556640626,-0.9634820556640626,
0,validation,115.2,Cold,time_0_30_s,0.0,30.0,true,true,30,0.3106466399493695,0.2573293050130208,-0.2573293050130208,0.5304428100585937,0.54302978515625,0.2230324523530672,0.15570780436197917,-0.13950093587239584,
0,validation,115.2,Cold,time_30_100_s,30.0,100.0,false,true,70,0.6656879792838516,0.6569357735770088,-0.6569357735770088,0.9111190795898437,1.00543212890625,0.5497387276478976,0.5391074044363839,-0.5391074044363839,
0,validation,115.2,Cold,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
0,validation,403.0,Cold,time_0_30_s,0.0,30.0,true,true,30,0.9366204220180697,0.8946756998697916,0.8946756998697916,1.2898239135742187,1.304107666015625,0.6858358659356869,0.6273417154947917,0.6273417154947917,
0,validation,403.0,Cold,time_30_100_s,30.0,100.0,false,true,70,0.33951980107109925,0.28396475655691966,0.28396475655691966,0.6342010498046874,0.748199462890625,0.18685367252557566,0.15168587820870538,0.016630772181919648,
0,validation,403.0,Cold,time_100_200_s,100.0,200.0,false,true,26,1.1685500939286186,1.1507720947265627,1.1507720947265627,1.4202499389648438,1.430755615234375,0.9064743806863835,0.8834381103515626,0.8834381103515626,
0,validation,630.5,Cold,time_0_30_s,0.0,30.0,true,true,30,1.0913103962996444,0.9931030273437499,0.9931030273437499,1.5634872436523437,1.570770263671875,0.5449096765485928,0.46478271484375,0.30368041992187494,
0,validation,630.5,Cold,time_30_100_s,30.0,100.0,false,true,70,0.2479736131431928,0.2352286202566965,-0.22155412946428577,0.307891845703125,0.311553955078125,0.9177599335776049,0.9109767368861608,-0.9109767368861608,
0,validation,630.5,Cold,time_100_200_s,100.0,200.0,false,true,50,0.24195659928418692,0.209317626953125,0.134471435546875,0.38054351806640624,0.3839111328125,0.5902806384462962,0.554951171875,-0.554951171875,
1,validation,115.2,Top,time_0_30_s,0.0,30.0,true,true,606,2.4401520201797426,2.1071085914133407,-2.0510886919380416,4.6534423828125,4.8404541015625,1.6809405040806127,1.4697285265025526,1.4671191224957456,
1,validation,115.2,Top,time_30_100_s,30.0,100.0,false,true,1313,2.55403164061245,2.1740689419283727,-1.064063694671375,4.507519531249998,5.433380126953125,2.7505647237411344,2.475388956178896,2.454144119762412,
1,validation,115.2,Top,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
1,validation,403.0,Top,time_0_30_s,0.0,30.0,true,true,606,3.017893964240203,2.51896083315607,2.2669684281050175,4.81939697265625,5.0931396484375,2.978978113870788,2.2659153198645057,-2.244432153481461,
1,validation,403.0,Top,time_30_100_s,30.0,100.0,false,true,1414,0.9100158740698014,0.6779499006598186,-0.06841201464637635,1.8006317138671857,4.283905029296875,4.657038821839474,4.578907545594004,-4.578907545594004,
1,validation,403.0,Top,time_100_200_s,100.0,200.0,false,true,404,0.7925700610988962,0.5763225348598264,-0.02159003969744945,1.4537872314453122,3.984588623046875,4.5961679385644585,4.529634732510283,-4.529634732510283,
1,validation,630.5,Top,time_0_30_s,0.0,30.0,true,true,606,11.733705449792016,10.813864960590848,10.759933235228996,16.94696807861328,17.9739990234375,6.167166392769915,4.482806289402611,-4.312678330788989,
1,validation,630.5,Top,time_30_100_s,30.0,100.0,false,true,1414,3.0012799392312495,2.532569166593137,1.3113864467769245,5.432357788085934,9.0167236328125,13.813205224247096,13.657455025286854,-13.657455025286854,
1,validation,630.5,Top,time_100_200_s,100.0,200.0,false,true,909,2.746740463931921,1.8989029820390915,-0.35022319038531435,6.296508789062493,11.97857666015625,15.432645532438059,15.311043859423565,-15.311043859423565,
1,validation,115.2,Hot,time_0_30_s,0.0,30.0,true,true,30,0.6547684867921743,0.5736399332682292,-0.5736399332682292,1.1845840454101562,1.263641357421875,0.4208987281382325,0.2878753662109375,-0.27838236490885415,
1,validation,115.2,Hot,time_30_100_s,30.0,100.0,false,true,70,2.586196879640012,2.5196306501116066,-2.5196306501116066,3.401911926269531,3.5042724609375,2.299502401412492,2.2243730817522325,-2.2243730817522325,
1,validation,115.2,Hot,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
1,validation,403.0,Hot,time_0_30_s,0.0,30.0,true,true,30,0.5263953529010632,0.4628041585286459,0.45851135253906256,0.8218475341796874,0.906768798828125,0.31425919392196977,0.22607930501302084,-0.1786041259765625,
1,validation,403.0,Hot,time_30_100_s,30.0,100.0,false,true,70,0.3127826886431388,0.26505998883928567,0.26505998883928567,0.561273193359375,0.56866455078125,0.40743281658409525,0.3720554896763393,-0.3720554896763393,
1,validation,403.0,Hot,time_100_200_s,100.0,200.0,false,true,26,0.528913996534309,0.5025658240685097,0.5025658240685097,0.738067626953125,0.751922607421875,0.21279383853879089,0.17209331805889425,-0.1345496544471154,
1,validation,630.5,Hot,time_0_30_s,0.0,30.0,true,true,30,0.5187490902264595,0.45409545898437487,0.4153767903645833,0.7964202880859375,0.853363037109375,0.4664749061296617,0.4089396158854167,0.3479024251302083,
1,validation,630.5,Hot,time_30_100_s,30.0,100.0,false,true,70,0.9957611423981293,0.817781284877232,-0.7836661202566965,1.6182647705078126,1.619781494140625,1.0496893782037717,0.8742937360491072,-0.8511404854910715,
1,validation,630.5,Hot,time_100_200_s,100.0,200.0,false,true,50,1.3331780798884691,1.3276904296875,-1.3276904296875,1.5465728759765625,1.5823974609375,1.4003880607177155,1.3951647949218748,-1.3951647949218748,
1,validation,115.2,Cold,time_0_30_s,0.0,30.0,true,true,30,0.421033183093496,0.36126505533854164,-0.25552368164062494,0.7276809692382812,0.772552490234375,0.5914636595517154,0.49132486979166656,-0.4877014160156249,
1,validation,115.2,Cold,time_30_100_s,30.0,100.0,false,true,70,1.2081310027622547,1.1996961321149553,-1.1996961321149553,1.40897216796875,1.4183349609375,1.4389483937795133,1.4318738664899555,-1.4318738664899555,
1,validation,115.2,Cold,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
1,validation,403.0,Cold,time_0_30_s,0.0,30.0,true,true,30,0.5004204157895763,0.4714823404947917,0.4714823404947917,0.7010299682617187,0.727386474609375,0.48360839939936207,0.45359903971354165,0.45359903971354165,
1,validation,403.0,Cold,time_30_100_s,30.0,100.0,false,true,70,0.37838565551335956,0.3087611607142857,-0.10942208426339284,0.7056503295898438,0.71728515625,0.3839390222875172,0.3082502092633929,-0.12730538504464287,
1,validation,403.0,Cold,time_100_200_s,100.0,200.0,false,true,26,0.08162909198314253,0.0800910362830529,0.0800910362830529,0.1074371337890625,0.109466552734375,0.06417582817043593,0.06220773550180289,0.06220773550180289,
1,validation,630.5,Cold,time_0_30_s,0.0,30.0,true,true,30,0.45627019080356634,0.40936686197916666,0.40159505208333335,0.7890106201171875,0.82257080078125,0.5616104793811368,0.5181722005208333,0.5181722005208333,
1,validation,630.5,Cold,time_30_100_s,30.0,100.0,false,true,70,0.654426593173185,0.5561126708984375,-0.5489384242466517,1.1362884521484375,1.160919189453125,0.5602473070503613,0.45432957240513394,-0.4323612758091518,
1,validation,630.5,Cold,time_100_200_s,100.0,200.0,false,true,50,0.6051322035052674,0.6003997802734375,-0.6003997802734375,0.6888137817382812,0.691986083984375,0.489682985862692,0.48382263183593754,-0.48382263183593754,
2,validation,115.2,Top,time_0_30_s,0.0,30.0,true,true,606,2.3790365210298856,2.0959019424891707,-1.9209821342241646,3.9633712768554688,4.254119873046875,1.2319164866761274,1.0717277904548268,1.0717277904548268,
2,validation,115.2,Top,time_30_100_s,30.0,100.0,false,true,1313,2.1236486607293683,1.829597351120704,-1.027947756323484,3.7455261230468744,4.255584716796875,2.1838808259902804,1.9682168139815786,1.9647621683555077,
2,validation,115.2,Top,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
2,validation,403.0,Top,time_0_30_s,0.0,30.0,true,true,606,3.0479830133914483,2.44051993089934,1.8637126255350145,5.800041198730469,6.71636962890625,3.671595694491414,3.0562442993566936,-3.0562442993566936,
2,validation,403.0,Top,time_30_100_s,30.0,100.0,false,true,1414,1.1219639148924268,0.7853885799860011,-0.4544188500353925,2.4573303222656246,3.894927978515625,5.490301871837763,5.376448560275533,-5.376448560275533,
2,validation,403.0,Top,time_100_200_s,100.0,200.0,false,true,404,0.9290070855263133,0.6674358950505819,-0.5749967705154078,2.1030380249023426,3.281829833984375,5.573600327107057,5.502672843850775,-5.502672843850775,
2,validation,630.5,Top,time_0_30_s,0.0,30.0,true,true,606,8.67652751457055,7.530805591870166,7.104364702742554,13.752273559570312,16.58050537109375,5.246353712450764,3.924225569095405,-3.452428150783102,
2,validation,630.5,Top,time_30_100_s,30.0,100.0,false,true,1414,3.4662157772266946,2.6937494392144736,-1.0945226602306524,6.38812255859375,10.18402099609375,12.044029099419927,11.895580494483662,-11.895580494483662,
2,validation,630.5,Top,time_100_200_s,100.0,200.0,false,true,909,3.723883894173173,2.71094323489874,-2.709368607157407,7.7828735351562495,11.60400390625,13.597048319495565,13.565694952063632,-13.565694952063632,
2,validation,115.2,Hot,time_0_30_s,0.0,30.0,true,true,30,0.9979804353908079,0.9396270751953125,0.9396270751953125,1.3355239868164062,1.354095458984375,0.40666104556914523,0.28683776855468757,-0.22870788574218753,
2,validation,115.2,Hot,time_30_100_s,30.0,100.0,false,true,70,0.6782280194428388,0.5636239188058035,-0.5068045479910713,1.208135986328125,1.3038330078125,1.7347146079013622,1.6751395089285714,-1.6751395089285714,
2,validation,115.2,Hot,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
2,validation,403.0,Hot,time_0_30_s,0.0,30.0,true,true,30,2.1975122827120575,2.179788208007812,2.179788208007812,2.7195602416992184,2.786285400390625,0.5952869756748983,0.5261016845703125,0.5261016845703125,
2,validation,403.0,Hot,time_30_100_s,30.0,100.0,false,true,70,2.3098490550966964,2.305623081752232,2.305623081752232,2.574046325683594,2.58489990234375,0.6667279342353211,0.6519365583147321,0.6519365583147321,
2,validation,403.0,Hot,time_100_200_s,100.0,200.0,false,true,26,2.4648062402638558,2.45385976938101,2.45385976938101,2.857086181640625,2.912994384765625,0.8331381984885791,0.8001732459435096,0.8001732459435096,
2,validation,630.5,Hot,time_0_30_s,0.0,30.0,true,true,30,1.4747060321977683,1.37159423828125,1.37159423828125,2.3036346435546875,2.32012939453125,1.3965126760767286,1.287152099609375,1.287152099609375,
2,validation,630.5,Hot,time_30_100_s,30.0,100.0,false,true,70,1.023044838330052,0.9035003662109374,0.9035003662109374,1.6831771850585937,1.730865478515625,0.9492966920778215,0.8190582275390625,0.8190582275390625,
2,validation,630.5,Hot,time_100_200_s,100.0,200.0,false,true,50,0.7765732678462223,0.5734674072265625,0.5734674072265625,1.5193832397460936,1.6123046875,0.7164823001771842,0.5000372314453125,0.4890252685546875,
2,validation,115.2,Cold,time_0_30_s,0.0,30.0,true,true,30,1.6440552416835161,1.6348358154296874,1.6348358154296874,1.8622146606445313,1.8787841796875,0.23202769013712743,0.1731231689453125,-0.15364685058593752,
2,validation,115.2,Cold,time_30_100_s,30.0,100.0,false,true,70,0.5752024205333252,0.5463928222656249,0.5463928222656249,0.9598342895507811,1.1474609375,1.2550298356257914,1.2420898437499999,-1.2420898437499999,
2,validation,115.2,Cold,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
2,validation,403.0,Cold,time_0_30_s,0.0,30.0,true,true,30,2.197286610043947,2.138197835286458,2.138197835286458,2.932997131347656,2.958099365234375,0.7202772131601141,0.5536275227864583,0.5124654134114582,
2,validation,403.0,Cold,time_30_100_s,30.0,100.0,false,true,70,1.7927572189104928,1.7669433593750001,1.7669433593750001,2.103648376464844,2.111053466796875,0.3344101367870055,0.29945765904017857,0.1412109375,
2,validation,403.0,Cold,time_100_200_s,100.0,200.0,false,true,26,2.1616034912360016,2.159795907827524,2.159795907827524,2.3251876831054688,2.349090576171875,0.5413271625208864,0.5340634859525242,0.5340634859525242,
2,validation,630.5,Cold,time_0_30_s,0.0,30.0,true,true,30,1.7034596900934937,1.640621948242187,1.640621948242187,2.418562316894531,2.476715087890625,0.9860460286345281,0.8730133056640627,0.8730133056640627,
2,validation,630.5,Cold,time_30_100_s,30.0,100.0,false,true,70,0.8590677335414114,0.8150691441127231,0.8150691441127231,1.1627304077148437,1.16845703125,0.27552161500188327,0.2423727852957589,0.04746050153459821,
2,validation,630.5,Cold,time_100_200_s,100.0,200.0,false,true,50,0.6145116711599433,0.5844354248046875,0.5844354248046875,0.9725189208984374,1.040130615234375,0.26384134614314314,0.24006408691406253,-0.18317321777343748,
3,validation,115.2,Top,time_0_30_s,0.0,30.0,true,true,606,3.1866237453422155,2.8791001826623095,-2.8723995095432393,5.1077880859375,5.4244384765625,1.4093977342282282,1.2463939402363087,1.2463939402363087,
3,validation,115.2,Top,time_30_100_s,30.0,100.0,false,true,1313,3.1820530401320837,2.689607084206017,-2.1117707112320305,5.486383056640623,6.2110595703125,2.397951321633141,2.058904620226521,2.007022738547518,
3,validation,115.2,Top,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
3,validation,403.0,Top,time_0_30_s,0.0,30.0,true,true,606,2.3349635310058936,1.8399375688911663,1.4309067427128452,4.486625671386719,4.7857666015625,2.9759606158343064,2.442959473864867,-2.4419521923505827,
