seed,split,power_w,modality,sample_count,time_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c,delta_rmse_c,delta_mae_c,delta_signed_bias_c,delta_p95_abs_error_c,peak_error_c
1,validation,403.0,Top,2424,24,1.6925397589325455,1.1212647629128836,0.5232367873020536,4.4235488891601555,5.0931396484375,4.28843914389107,3.992447325170075,-3.9870765333073357,5.806341552734374,0.3446044921875
1,validation,630.5,Top,2929,29,5.9308889417829,4.049285730806921,2.7505862967187538,14.61357421875,17.9739990234375,13.186941672562384,12.27243452454695,-12.237235635768908,18.499530029296874,1.54052734375
1,validation,115.2,Hot,100,100,2.193286698443833,1.9358334350585937,-1.9358334350585937,3.3537612915039063,3.5042724609375,1.9376647356226997,1.6434237670898435,-1.6405758666992187,3.0585037231445313,-2.64556884765625
1,validation,403.0,Hot,126,126,0.42196228257769475,0.36115107460627477,0.36012897794208826,0.7090377807617188,0.906768798828125,0.35366765283884677,0.29603721981956843,-0.2769865005735367,0.5822830200195312,0.751922607421875
1,validation,630.5,Hot,150,150,1.0530876059878418,0.9150138346354166,-0.7251989746093749,1.6057586669921875,1.619781494140625,1.1006411662343727,0.9548465983072918,-0.7926733398437502,1.6732330322265625,-1.24639892578125
1,validation,115.2,Cold,100,100,1.0367675951072568,0.9481668090820313,-0.9164443969726562,1.407525634765625,1.4183349609375,1.246735542985577,1.1497091674804687,-1.1486221313476561,1.639703369140625,-1.14459228515625
1,validation,403.0,Cold,126,126,0.37488795259550467,0.30031840006510413,0.06799437507750496,0.6992416381835938,0.727386474609375,0.37206029313297284,0.2920864044673859,0.05011107429625496,0.6988525390625,0.103912353515625
1,validation,630.5,Cold,150,150,0.602958900788951,0.54152587890625,-0.37598551432291666,1.0966171264648437,1.160919189453125,0.5380399886172905,0.47692911783854164,-0.2594083658854167,0.9800399780273437,-0.462188720703125
2,validation,115.2,Top,1919,19,2.207491739928436,1.9136935378686406,-1.3099586125026461,3.787994384765625,4.255584716796875,1.9345483681908888,1.6851150170783935,1.6827513121763449,3.5061004638671873,-3.886932373046875
2,validation,403.0,Top,2424,24,1.78904844557435,1.1795126580991528,0.10501772823812972,4.240022277832031,6.71636962890625,5.111879840191363,4.817434846124449,-4.817434846124449,6.569050598144531,-0.23529052734375
2,validation,630.5,Top,2929,29,5.067488370149378,3.699855705549341,0.10063982696779239,10.780126953124999,16.58050537109375,11.53687306437779,10.76464598105449,-10.66703271990523,15.042767333984374,-1.3626708984375
2,validation,115.2,Hot,100,100,0.787898951184095,0.6764248657226564,-0.07287506103515626,1.2746963500976562,1.354095458984375,1.4683583695411284,1.2586489868164064,-1.2412100219726565,2.3313201904296874,-0.710235595703125
2,validation,403.0,Hot,126,126,2.316790006731095,2.306250920371404,2.306250920371404,2.7188034057617188,2.912994384765625,0.6888852732645907,0.6525643969339038,0.6525643969339038,1.0651168823242188,2.912994384765625
2,validation,630.5,Hot,150,150,1.0603756892254301,0.8871081542968751,0.8871081542968751,1.7304397583007813,2.32012939453125,0.9908120192648103,0.806336669921875,0.8026660156250001,1.6459976196289063,1.6123046875
2,validation,115.2,Cold,100,100,1.0210170265589555,0.8729257202148436,0.8729257202148436,1.7912216186523438,1.8787841796875,1.0576960700100677,0.9213998413085939,-0.9155569458007814,1.4310852050781249,0.42388916015625
2,validation,403.0,Cold,126,126,1.9746535070854754,1.936402093796503,1.936402093796503,2.666229248046875,2.958099365234375,0.4961038694036783,0.40838501945374495,0.3106696719215029,1.040496826171875,2.349090576171875
2,validation,630.5,Cold,150,150,1.025001766273699,0.9033017985026042,0.9033017985026042,1.99906005859375,2.476715087890625,0.5030776423683607,0.3677313232421875,0.13569315592447917,1.231451416015625,1.040130615234375
3,validation,115.2,Top,1919,19,3.183497129680973,2.7494470100343196,-2.3519692791197806,5.322091674804687,6.2110595703125,2.1357930718744815,1.8023223002296116,1.7668241706597674,4.019223022460937,-5.873870849609375
3,validation,403.0,Top,2424,24,1.5987306630520588,1.1758268610701237,-0.26745862349706706,3.770167541503906,5.164337158203125,4.399959556319003,4.140920790229465,-4.1406689698383765,5.586106872558593,-0.4259033203125
3,validation,630.5,Top,2929,29,5.4113025614429,3.4320447664680156,1.8952629474403846,12.627600097656241,19.92755126953125,13.232936696090892,12.375332641907047,-12.326161430391585,16.90460205078125,0.10491943359375
3,validation,115.2,Hot,100,100,2.908278026008564,2.790002136230469,-2.790002136230469,4.2931976318359375,4.54400634765625,1.5734558524679254,1.342309265136719,-1.342309265136719,2.8455047607421875,-3.087432861328125
3,validation,403.0,Hot,126,126,0.8757446924188287,0.8500247531467013,-0.8500247531467013,1.1206893920898438,1.4024658203125,0.5912510617571223,0.5524410671657987,0.5524410671657987,0.9898910522460938,-0.2156982421875
3,validation,630.5,Hot,150,150,1.9517829368657298,1.8843320719401042,-1.8843320719401042,2.644544982910156,2.65985107421875,0.6449748333516114,0.5457187906901042,-0.39653910319010416,1.1567520141601562,-0.968994140625
3,validation,115.2,Cold,100,100,2.3083539374869213,2.2334628295898438,-2.2334628295898438,3.000128173828125,3.0623779296875,1.1520636979916807,0.9935336303710938,-0.9935336303710938,1.760198974609375,-2.4512939453125
3,validation,403.0,Cold,126,126,0.8238998482644204,0.7579590328156001,-0.7538270496186754,1.2582778930664062,1.28460693359375,0.38034517597025075,0.307312738327753,0.18468003045944936,0.6372146606445312,-0.337432861328125
3,validation,630.5,Cold,150,150,1.227228168925699,1.180478719075521,-1.1777695719401042,1.5447921752929688,1.579986572265625,0.40790736111697073,0.3599713134765625,-0.21780863444010418,0.6196273803710938,-1.0460205078125
4,validation,115.2,Top,1919,19,2.8078486476681515,2.3499880060670026,-1.7997790680011154,5.261996459960938,6.781097412109375,2.311368402757493,1.9091025268491073,1.6603803848338163,4.401562499999999,-5.4337158203125
4,validation,403.0,Top,2424,24,1.8889111692289748,1.3133577600165087,0.1698867395383597,5.010795593261717,6.71588134765625,4.788619368972379,4.374377889367941,-4.369495756383928,6.875355529785156,-0.46759033203125
4,validation,630.5,Top,2929,29,5.900685706432504,3.9036705815345556,1.9325296659750435,14.487182617187496,19.39715576171875,12.816548856533352,11.816716980875835,-11.760293670622433,18.172442626953124,-1.22052001953125
4,validation,115.2,Hot,100,100,2.1065680591413947,2.0044308471679684,-2.0044308471679684,2.615362548828125,2.63006591796875,1.4526208550332285,1.300085144042969,-1.300085144042969,1.911016845703125,-2.507568359375
4,validation,403.0,Hot,126,126,0.3981500265884609,0.3169357057601686,-0.22488112676711308,0.7396316528320312,0.918914794921875,0.7678767186395873,0.6940336681547622,0.6940336681547622,1.164154052734375,0.35400390625
4,validation,630.5,Hot,150,150,1.7078414186091035,1.6195080566406252,-1.6195080566406252,2.453358459472656,2.512725830078125,0.5938394357431918,0.5102547200520835,-0.24234130859375003,1.0761917114257813,-1.34344482421875
4,validation,115.2,Cold,100,100,1.2472240442037734,1.2052606201171874,-1.2052606201171874,1.6504760742187499,1.83770751953125,0.8201924894397578,0.7548516845703125,-0.7548516845703125,1.2000671386718749,-1.358795166015625
4,validation,403.0,Cold,126,126,0.7096734976643785,0.5953892299107143,-0.593782939608135,1.27398681640625,1.299468994140625,0.5984117661302816,0.5133400568886409,0.4550146678137401,0.94244384765625,0.073089599609375
4,validation,630.5,Cold,150,150,1.8874185693234566,1.8273240152994794,-1.8273240152994794,2.457373046875,2.498504638671875,0.4894773910524521,0.4027988688151042,0.12787618001302084,0.9795318603515614,-1.035400390625
