模型组,种子,数据划分,功率_W,径向窗,径向起毫米,径向止毫米,径向起含端点,径向止含端点,旧表示实际观测点数,闭端点修订实际观测点数,旧表示RMSE_摄氏度,旧表示MAE_摄氏度,旧表示有符号偏差_摄氏度,旧表示绝对误差95分位_摄氏度,旧表示绝对误差最大值_摄氏度,闭端点修订RMSE_摄氏度,闭端点修订MAE_摄氏度,闭端点修订有符号偏差_摄氏度,闭端点修订绝对误差95分位_摄氏度,闭端点修订绝对误差最大值_摄氏度
任07修复后E0,0,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.907709731217067,2.395751424809377,1.3913231639993289,5.180154418945312,7.703338623046875,2.9690526813499694,2.449295569927923,1.2227166627882111,5.395648193359374,7.703338623046875
任07修复后E0,0,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,7.362882035760957,5.756786993694538,5.116674108583007,17.635662841796876,19.7188720703125,7.362882035760957,5.756786993694538,5.116674108583007,17.635662841796876,19.7188720703125
任07修复后E0,0,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,7.050586370780576,5.156907750852019,4.255690042834576,14.1136474609375,19.634552001953125,7.050586370780576,5.156907750852019,4.255690042834576,14.1136474609375,19.634552001953125
任07修复后E0,0,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,7.157189261587295,5.46327749407776,-1.106368422712774,12.946588134765623,27.58758544921875,7.768541431650437,5.906453154557046,-1.7923214497731361,13.48992919921875,28.5567626953125
任07修复后E0,1,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,2.7082294046426836,2.5823306033485816,-2.5823306033485816,5.1026565551757805,5.932098388671875,2.7082294046426836,2.5823306033485816,-2.5823306033485816,5.1026565551757805,5.932098388671875
任07修复后E0,1,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,1.9027940448184761,1.5497057730691473,-1.4323553341871116,4.3197143554687525,5.919647216796875,1.9027940448184761,1.5497057730691473,-1.4323553341871116,4.3197143554687525,5.919647216796875
任07修复后E0,1,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.4086846814001153,1.0259200648257605,0.3589240626284951,3.107421874999999,4.15216064453125,1.4054677038952372,1.02636947510155,0.33906689024808123,3.081283569335937,4.15216064453125
任07修复后E0,1,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,1.8862397039779204,1.5949621826716835,1.3312623019375573,3.139749145507812,4.3658447265625,1.8862397039779204,1.5949621826716835,1.3312623019375573,3.139749145507812,4.3658447265625
任07修复后E0,1,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,1.6344602709063492,1.2178775404495639,0.8732020290172156,3.433845520019531,6.664337158203125,1.6344602709063492,1.2178775404495639,0.8732020290172156,3.433845520019531,6.664337158203125
任07修复后E0,1,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.391638927880372,1.7024843953573532,0.2645615423981944,5.402030944824218,7.634124755859375,2.5018563090812584,1.7810842928035084,0.12752056942861417,5.58954620361328,7.634124755859375
任07修复后E0,1,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,5.049274379922056,3.6345344154232966,3.050217758302429,12.77665100097656,14.916748046875,5.049274379922056,3.6345344154232966,3.050217758302429,12.77665100097656,14.916748046875
任07修复后E0,1,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,6.265503499402599,4.638060902052972,4.2558504095970235,13.563562011718744,17.607025146484375,6.265503499402599,4.638060902052972,4.2558504095970235,13.563562011718744,17.607025146484375
任07修复后E0,1,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,7.4740136816920595,5.478925238322145,-0.6877153607089188,16.18563537597656,28.02984619140625,7.9486798443276685,5.860787605327274,-1.3142583132396797,16.415283203125,29.01171875
任07修复后E0,2,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,2.845349357791369,2.1726885343852795,-2.1726885343852795,6.260197448730468,7.337738037109375,2.845349357791369,2.1726885343852795,-2.1726885343852795,6.260197448730468,7.337738037109375
任07修复后E0,2,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,2.0257092192039186,1.4314033999080547,-0.843247932300233,4.934468078613282,6.174591064453125,2.0257092192039186,1.4314033999080547,-0.843247932300233,4.934468078613282,6.174591064453125
任07修复后E0,2,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,2.24238188180467,1.8653556422183386,0.6093527141370272,4.714421081542969,6.13592529296875,2.2456630607508883,1.8668201209255382,0.5684322862153609,4.714437866210938,6.228851318359375
任07修复后E0,2,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,1.0127860944014653,0.7411864093906527,0.6172183278555503,2.37083740234375,2.751983642578125,1.0127860944014653,0.7411864093906527,0.6172183278555503,2.37083740234375,2.751983642578125
任07修复后E0,2,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,1.4370867229832593,0.9589431658975388,0.5569736407323238,3.7753631591796792,4.8173828125,1.4370867229832593,0.9589431658975388,0.5569736407323238,3.7753631591796792,4.8173828125
任07修复后E0,2,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.7303010145456423,2.159613123933057,0.24711673550582403,5.527250671386718,9.58056640625,2.894739703088433,2.2629318036551647,0.07067459290719175,6.004687499999998,9.870513916015625
任07修复后E0,2,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,5.50020037136327,3.7529708999675067,2.251371310907543,13.285098266601562,16.5831298828125,5.50020037136327,3.7529708999675067,2.251371310907543,13.285098266601562,16.5831298828125
任07修复后E0,2,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,6.656496031348174,4.397581576411596,2.9008807843291295,15.125440979003892,18.4163818359375,6.656496031348174,4.397581576411596,2.9008807843291295,15.125440979003892,18.4163818359375
任07修复后E0,2,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,7.345960602473735,5.274268997277307,-1.8856315446211878,14.91691741943359,29.34820556640625,7.997464080773792,5.749938114004994,-2.5501236235862104,15.641040039062496,30.2872314453125
任07修复后E0,3,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,3.978437950297916,3.9440253408331616,-3.9440253408331616,5.049636840820312,5.44061279296875,3.978437950297916,3.9440253408331616,-3.9440253408331616,5.049636840820312,5.44061279296875
任07修复后E0,3,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,2.694657723372121,2.3654387178476792,-2.256254675792672,4.340534973144531,5.323699951171875,2.694657723372121,2.3654387178476792,-2.256254675792672,4.340534973144531,5.323699951171875
任07修复后E0,3,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.7260362177522632,1.4068517183002673,0.4847496434261924,3.267132568359374,4.30322265625,1.729001490945355,1.4087717156661186,0.446557344622209,3.269598388671872,4.39471435546875
任07修复后E0,3,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,2.288009938245387,1.5511709031493526,1.4763080033371474,5.512028503417969,6.608184814453125,2.288009938245387,1.5511709031493526,1.4763080033371474,5.512028503417969,6.608184814453125
任07修复后E0,3,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,2.5234723318951082,1.7981722365336934,1.447289412010406,6.546351623535154,7.3839111328125,2.5234723318951082,1.7981722365336934,1.447289412010406,6.546351623535154,7.3839111328125
任07修复后E0,3,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,3.290577169814238,2.791499102397914,2.302773460712954,6.005598449707032,7.4017333984375,3.2934916616844356,2.794280946946786,2.1473967173274335,6.004908752441406,7.4017333984375
任07修复后E0,3,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,5.665015897094091,3.9141210237329895,3.333876536282313,15.914219665527343,18.96099853515625,5.665015897094091,3.9141210237329895,3.333876536282313,15.914219665527343,18.96099853515625
任07修复后E0,3,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,6.563172380878195,5.083871952593373,4.902429718308989,13.72084503173828,15.95916748046875,6.563172380878195,5.083871952593373,4.902429718308989,13.72084503173828,15.95916748046875
任07修复后E0,3,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,6.608686391554525,5.313639977746725,1.9873168861598722,12.544079589843749,21.6536865234375,6.908988440908815,5.547368308703411,1.3496141498159036,12.57403564453125,22.6710205078125
任07修复后E0,4,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,2.252006549036243,2.0523801100881474,-2.052041103965357,3.635522460937499,5.433929443359375,2.252006549036243,2.0523801100881474,-2.052041103965357,3.635522460937499,5.433929443359375
任07修复后E0,4,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,1.2864704260281505,0.9957207127621299,0.27962244044967566,2.6310089111328137,3.6597900390625,1.2864704260281505,0.9957207127621299,0.27962244044967566,2.6310089111328137,3.6597900390625
任07修复后E0,4,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.6614674970170193,1.3352883489508378,0.07480586202521067,3.1535812377929684,4.26800537109375,1.7066647429189674,1.3737569562556071,-0.004998214697343573,3.3152435302734315,4.386138916015625
任07修复后E0,4,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,2.1958327416551566,1.551646678549119,1.3525864410993695,5.1368164062499995,5.5240478515625,2.1958327416551566,1.551646678549119,1.3525864410993695,5.1368164062499995,5.5240478515625
任07修复后E0,4,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,2.47212611955804,1.754011872342132,0.7240296998518588,6.339260864257812,7.81146240234375,2.47212611955804,1.754011872342132,0.7240296998518588,6.339260864257812,7.81146240234375
任07修复后E0,4,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,3.0743300629787003,2.416523618628757,0.8513132570939985,6.485369873046875,7.918243408203125,3.1552324433922063,2.474360647956286,0.6956021073430694,6.6629638671875,7.98980712890625
任07修复后E0,4,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,7.0929394928531515,5.077473421735844,4.264765245334131,17.758198547363282,22.424560546875,7.0929394928531515,5.077473421735844,4.264765245334131,17.758198547363282,22.424560546875
任07修复后E0,4,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,7.337869783970476,5.376361943646773,4.420446015140579,16.482696533203125,17.757659912109375,7.337869783970476,5.376361943646773,4.420446015140579,16.482696533203125,17.757659912109375
任07修复后E0,4,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,7.712872572134107,6.059318619156433,0.13820187376731985,14.339958190917969,26.5101318359375,8.175813068881476,6.391312451270654,-0.5391105602736656,14.729052734374996,27.3985595703125
