运行臂,功率_瓦,模态,指标,时间窗,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,观测点数,数据状态
空间LF同源,403.0,热端,真实首时刻温升,"[0,30]秒",0.1340219989811706,0.10874226888020834,0.085345458984375,0.275848388671875,30,实际观测
空间LF同源,403.0,热端,真实首时刻温升,"(30,100]秒",0.26357803827049336,0.21883937290736608,-0.14104134695870535,0.477386474609375,70,实际观测
空间LF同源,403.0,热端,真实首时刻温升,"(100,200]秒",0.3709389340481315,0.34262319711538464,-0.34262319711538464,0.481170654296875,26,实际观测
空间LF同源,403.0,冷端,绝对温度,全部合法观测,0.35673818797937246,0.3103397914341518,0.3103397914341518,0.59234619140625,126,实际观测
空间LF同源,403.0,冷端,绝对温度,"[0,30]秒",0.3813403824500414,0.3545654296875,0.3545654296875,0.569122314453125,30,实际观测
空间LF同源,403.0,冷端,绝对温度,"(30,100]秒",0.25390715439079947,0.21238621303013394,0.21238621303013394,0.449432373046875,70,实际观测
空间LF同源,403.0,冷端,绝对温度,"(100,200]秒",0.5247561832354923,0.5230313814603366,0.5230313814603366,0.59234619140625,26,实际观测
空间LF同源,403.0,冷端,真实首时刻温升,全部合法观测,0.19326211874634297,0.16625177292596727,0.07999311174665179,0.36199951171875,126,实际观测
空间LF同源,403.0,冷端,真实首时刻温升,"[0,30]秒",0.18744103395261363,0.15035603841145834,0.12421875,0.338775634765625,30,实际观测
空间LF同源,403.0,冷端,真实首时刻温升,"(30,100]秒",0.14029796124000585,0.12610342843191966,-0.017960466657366073,0.219085693359375,70,实际观测
空间LF同源,403.0,冷端,真实首时刻温升,"(100,200]秒",0.29575591372519977,0.29268470177283656,0.29268470177283656,0.36199951171875,26,实际观测
空间LF同源,630.5,顶部,绝对温度,全部合法观测,7.72747413168272,5.554626599084936,2.91247833435056,29.2039794921875,,实际观测
空间LF同源,630.5,顶部,绝对温度,"[0,30]秒",13.809185944108851,12.488581947216764,12.17262108775159,24.17315673828125,,实际观测
空间LF同源,630.5,顶部,绝对温度,"(30,100]秒",4.142073409461886,3.440477180969988,1.8519263773828603,12.64971923828125,,实际观测
空间LF同源,630.5,顶部,绝对温度,"(100,200]秒",6.212415680398317,4.220681280346504,-1.6111793427184602,29.2039794921875,,实际观测
空间LF同源,630.5,热端,绝对温度,全部合法观测,1.1412209537403208,0.956990966796875,-0.0044596354166666664,3.724822998046875,150,实际观测
空间LF同源,630.5,热端,绝对温度,"[0,30]秒",0.9278321853408442,0.8628092447916667,0.8628092447916667,1.68377685546875,30,实际观测
空间LF同源,630.5,热端,绝对温度,"(30,100]秒",0.847445863961399,0.7377214704241072,-0.2956002371651786,1.481048583984375,70,实际观测
空间LF同源,630.5,热端,绝对温度,"(100,200]秒",1.5444099093154926,1.320477294921875,-0.11722412109375,3.724822998046875,50,实际观测
空间LF同源,630.5,热端,真实首时刻温升,全部合法观测,1.239158012564051,0.994176025390625,-0.48285319010416666,3.246429443359375,150,实际观测
空间LF同源,630.5,热端,真实首时刻温升,"[0,30]秒",0.514011861784009,0.3902974446614583,0.38441569010416665,1.20538330078125,30,实际观测
空间LF同源,630.5,热端,真实首时刻温升,"(30,100]秒",1.1089866464298206,0.9004080636160714,-0.7739937918526786,1.959442138671875,70,实际观测
空间LF同源,630.5,热端,真实首时刻温升,"(100,200]秒",1.6511271571652937,1.4877783203125,-0.59561767578125,3.246429443359375,50,实际观测
空间LF同源,630.5,冷端,绝对温度,全部合法观测,0.41659263903674776,0.34539937337239585,-0.1968975830078125,0.728179931640625,150,实际观测
空间LF同源,630.5,冷端,绝对温度,"[0,30]秒",0.4111898845119044,0.3263031005859375,0.3251129150390625,0.728179931640625,30,实际观测
空间LF同源,630.5,冷端,绝对温度,"(30,100]秒",0.27102901754603265,0.2278782435825893,-0.2278782435825893,0.5860595703125,70,实际观测
空间LF同源,630.5,冷端,绝对温度,"(100,200]秒",0.5624611882886705,0.52138671875,-0.46673095703125,0.71160888671875,50,实际观测
空间LF同源,630.5,冷端,真实首时刻温升,全部合法观测,0.4473989195966093,0.37892557779947916,-0.2557049560546875,0.770416259765625,150,实际观测
空间LF同源,630.5,冷端,真实首时刻温升,"[0,30]秒",0.3664660356642473,0.28158671061197915,0.2663055419921875,0.66937255859375,30,实际观测
空间LF同源,630.5,冷端,真实首时刻温升,"(30,100]秒",0.32205104756218067,0.2866856166294643,-0.2866856166294643,0.644866943359375,70,实际观测
空间LF同源,630.5,冷端,真实首时刻温升,"(100,200]秒",0.6121399663974744,0.56646484375,-0.525538330078125,0.770416259765625,50,实际观测
拟合LF同源,115.2,顶部,绝对温度,全部合法观测,2.6370048038090736,2.2450739476381334,-1.6487480668489856,5.031768798828125,,实际观测
拟合LF同源,115.2,顶部,绝对温度,"[0,30]秒",2.5153338130772713,2.131752895443353,-1.8921116492142378,5.03179931640625,,实际观测
拟合LF同源,115.2,顶部,绝对温度,"(30,100]秒",2.691309457456498,2.297378598145647,-1.5364306203663485,4.895111083984375,,实际观测
拟合LF同源,115.2,顶部,绝对温度,"(100,200]秒",,,,,,无数据
拟合LF同源,115.2,热端,绝对温度,全部合法观测,0.9946622993798222,0.9832168579101562,-0.9832168579101562,1.108154296875,100,实际观测
拟合LF同源,115.2,热端,绝对温度,"[0,30]秒",0.7816412056322307,0.774591064453125,-0.774591064453125,0.965057373046875,30,实际观测
拟合LF同源,115.2,热端,绝对温度,"(30,100]秒",1.0730891305711037,1.072627912248884,-1.072627912248884,1.108154296875,70,实际观测
拟合LF同源,115.2,热端,绝对温度,"(100,200]秒",,,,,0,无数据
拟合LF同源,115.2,热端,真实首时刻温升,全部合法观测,0.3685111940618728,0.3369509887695312,-0.33639678955078123,0.461334228515625,100,实际观测
拟合LF同源,115.2,热端,真实首时刻温升,"[0,30]秒",0.16521829394583076,0.12961832682291666,-0.12777099609375,0.3182373046875,30,实际观测
拟合LF同源,115.2,热端,真实首时刻温升,"(30,100]秒",0.4269683406674083,0.42580784388950893,-0.42580784388950893,0.461334228515625,70,实际观测
拟合LF同源,115.2,热端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
拟合LF同源,115.2,冷端,绝对温度,全部合法观测,0.5148930609037434,0.4762615966796875,-0.4762615966796875,0.660400390625,100,实际观测
拟合LF同源,115.2,冷端,绝对温度,"[0,30]秒",0.23165840547873123,0.20081685384114584,-0.20081685384114584,0.42413330078125,30,实际观测
拟合LF同源,115.2,冷端,绝对温度,"(30,100]秒",0.5964360570662823,0.594309343610491,-0.594309343610491,0.660400390625,70,实际观测
拟合LF同源,115.2,冷端,绝对温度,"(100,200]秒",,,,,0,无数据
拟合LF同源,115.2,冷端,真实首时刻温升,全部合法观测,0.4535650656567972,0.4093505859375,-0.4091839599609375,0.59332275390625,100,实际观测
拟合LF同源,115.2,冷端,真实首时刻温升,"[0,30]秒",0.17670423378856395,0.13429463704427083,-0.13373921712239584,0.3570556640625,30,实际观测
拟合LF同源,115.2,冷端,真实首时刻温升,"(30,100]秒",0.5296278382204052,0.527231706891741,-0.527231706891741,0.59332275390625,70,实际观测
拟合LF同源,115.2,冷端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
拟合LF同源,403.0,顶部,绝对温度,全部合法观测,2.554071782667254,1.8816169578460835,0.6364363772161381,7.830902099609375,,实际观测
拟合LF同源,403.0,顶部,绝对温度,"[0,30]秒",4.065729423877806,3.522291277894879,3.2058091871809253,7.830902099609375,,实际观测
拟合LF同源,403.0,顶部,绝对温度,"(30,100]秒",1.7484617643348797,1.3163406056797737,-0.3532153491347769,7.268890380859375,,实际观测
拟合LF同源,403.0,顶部,绝对温度,"(100,200]秒",1.9091232434677656,1.399087529470089,0.24636941136437898,7.708740234375,,实际观测
拟合LF同源,403.0,热端,绝对温度,全部合法观测,0.840101360041091,0.8050173804873512,0.8050173804873512,1.209869384765625,126,实际观测
拟合LF同源,403.0,热端,绝对温度,"[0,30]秒",1.0281634945224931,1.022223917643229,1.022223917643229,1.209869384765625,30,实际观测
拟合LF同源,403.0,热端,绝对温度,"(30,100]秒",0.8233125826645142,0.7900935581752232,0.7900935581752232,1.15948486328125,70,实际观测
拟合LF同源,403.0,热端,绝对温度,"(100,200]秒",0.6128244644451066,0.594573974609375,0.594573974609375,0.930877685546875,26,实际观测
拟合LF同源,403.0,热端,真实首时刻温升,全部合法观测,0.2856772097592149,0.23217579675099206,-0.1545773460751488,0.51348876953125,126,实际观测
拟合LF同源,403.0,热端,真实首时刻温升,"[0,30]秒",0.12688912184367918,0.1071563720703125,0.06262919108072916,0.250274658203125,30,实际观测
拟合LF同源,403.0,热端,真实首时刻温升,"(30,100]秒",0.28692581652472426,0.23641313825334823,-0.16950116838727677,0.51043701171875,70,实际观测
拟合LF同源,403.0,热端,真实首时刻温升,"(100,200]秒",0.3940504565357929,0.365020751953125,-0.365020751953125,0.51348876953125,26,实际观测
拟合LF同源,403.0,冷端,绝对温度,全部合法观测,0.3479575796880721,0.29885064987909227,0.29885064987909227,0.59588623046875,126,实际观测
拟合LF同源,403.0,冷端,绝对温度,"[0,30]秒",0.3730613885839022,0.34591776529947915,0.34591776529947915,0.561370849609375,30,实际观测
拟合LF同源,403.0,冷端,绝对温度,"(30,100]秒",0.24069214743319298,0.1974273681640625,0.1974273681640625,0.435546875,70,实际观测
拟合LF同源,403.0,冷端,绝对温度,"(100,200]秒",0.5197947249035098,0.5176051213191106,0.5176051213191106,0.59588623046875,26,实际观测
拟合LF同源,403.0,冷端,真实首时刻温升,全部合法观测,0.1920949585510753,0.1650330074249752,0.07167779831659227,0.36871337890625,126,实际观测
拟合LF同源,403.0,冷端,真实首时刻温升,"[0,30]秒",0.18334681300957034,0.1472808837890625,0.11874491373697917,0.334197998046875,30,实际观测
拟合LF同源,403.0,冷端,真实首时刻温升,"(30,100]秒",0.1408543145183006,0.12606419154575893,-0.0297454833984375,0.211578369140625,70,实际观测
拟合LF同源,403.0,冷端,真实首时刻温升,"(100,200]秒",0.2943168322364877,0.2904322697566106,0.2904322697566106,0.36871337890625,26,实际观测
拟合LF同源,630.5,顶部,绝对温度,全部合法观测,7.712893189503742,5.546714685172786,2.919320739239389,29.02545166015625,,实际观测
拟合LF同源,630.5,顶部,绝对温度,"[0,30]秒",13.798571609293257,12.491877729260171,12.175041109949172,24.17559814453125,,实际观测
拟合LF同源,630.5,顶部,绝对温度,"(30,100]秒",4.125811864070918,3.4282921058893656,1.858116470146926,12.52239990234375,,实际观测
拟合LF同源,630.5,顶部,绝对温度,"(100,200]秒",6.186535710632242,4.211950327638695,-1.6003527723047948,29.025390625,,实际观测
拟合LF同源,630.5,热端,绝对温度,全部合法观测,1.1543839716258262,0.9666868082682292,-0.0028806559244791666,3.775115966796875,150,实际观测
拟合LF同源,630.5,热端,绝对温度,"[0,30]秒",0.9226096933953845,0.8529134114583333,0.8529134114583333,1.7066650390625,30,实际观测
拟合LF同源,630.5,热端,绝对温度,"(30,100]秒",0.8647209128119678,0.7541242327008929,-0.29872523716517857,1.498016357421875,70,实际观测
拟合LF同源,630.5,热端,绝对温度,"(100,200]秒",1.5621276241573432,1.3325384521484376,-0.1021746826171875,3.775115966796875,50,实际观测
拟合LF同源,630.5,热端,真实首时刻温升,全部合法观测,1.2750299389568667,1.0158787027994791,-0.5413938395182292,3.236602783203125,150,实际观测
拟合LF同源,630.5,热端,真实首时刻温升,"[0,30]秒",0.4717995996002276,0.33947550455729164,0.3144002278645833,1.16815185546875,30,实际观测
拟合LF同源,630.5,热端,真实首时刻温升,"(30,100]秒",1.1659646919739362,0.9451546805245535,-0.8372384207589286,2.036529541015625,70,实际观测
拟合LF同源,630.5,热端,真实首时刻温升,"(100,200]秒",1.6853142111480182,1.5207342529296874,-0.6406878662109375,3.236602783203125,50,实际观测
拟合LF同源,630.5,冷端,绝对温度,全部合法观测,0.3961231590391025,0.32503173828125,-0.16176432291666668,0.7525634765625,150,实际观测
