运行臂,功率_瓦,模态,指标,时间窗,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,观测点数,数据状态
S1,403.0,冷端,真实首时刻温升,"[0,30]秒",0.20378866349558333,0.17837931315104166,0.03780924479166667,0.327117919921875,30,实际观测
S1,403.0,冷端,真实首时刻温升,"(30,100]秒",0.26309272492566216,0.23181239536830356,-0.18254481724330357,0.431854248046875,70,实际观测
S1,403.0,冷端,真实首时刻温升,"(100,200]秒",0.5135204185203671,0.49142690805288464,0.49142690805288464,0.73529052734375,26,实际观测
S1,630.5,顶部,绝对温度,全部合法观测,6.73281834805356,5.005235863262867,2.297255181840645,26.6932373046875,,实际观测
S1,630.5,顶部,绝对温度,"[0,30]秒",11.484718197302655,10.656639277333166,10.11153860881596,18.518524169921875,,实际观测
S1,630.5,顶部,绝对温度,"(30,100]秒",3.9785316727366307,3.16644197165721,1.5833004066116032,13.71685791015625,,实际观测
S1,630.5,顶部,绝对温度,"(100,200]秒",5.788877471259969,4.0979795592818995,-1.8016709792480532,26.6932373046875,,实际观测
S1,630.5,热端,绝对温度,全部合法观测,1.0810462215870884,0.8555808512369791,-0.2519553629557292,3.760894775390625,150,实际观测
S1,630.5,热端,绝对温度,"[0,30]秒",0.6320709681674024,0.5875569661458333,0.5875569661458333,1.050018310546875,30,实际观测
S1,630.5,热端,绝对温度,"(30,100]秒",0.6029957415858856,0.5095912388392857,-0.36522129603794645,1.31353759765625,70,实际观测
S1,630.5,热端,绝对温度,"(100,200]秒",1.660490639607498,1.5007806396484376,-0.5970904541015625,3.760894775390625,50,实际观测
S1,630.5,热端,真实首时刻温升,全部合法观测,1.2547692853904782,0.9918092854817708,-0.6850303141276042,3.32781982421875,150,实际观测
S1,630.5,热端,真实首时刻温升,"[0,30]秒",0.2795625391285388,0.21564737955729166,0.15448201497395833,0.616943359375,30,实际观测
S1,630.5,热端,真实首时刻温升,"(30,100]秒",0.9313936695084196,0.7982962472098214,-0.7982962472098214,1.746612548828125,70,实际观测
S1,630.5,热端,真实首时刻温升,"(100,200]秒",1.860632396812195,1.7284246826171874,-1.0301654052734375,3.32781982421875,50,实际观测
S1,630.5,冷端,绝对温度,全部合法观测,0.6509766215860299,0.5644417317708333,-0.5132405598958333,1.12335205078125,150,实际观测
S1,630.5,冷端,绝对温度,"[0,30]秒",0.26942342660876706,0.2448486328125,-0.014143880208333333,0.388092041015625,30,实际观测
S1,630.5,冷端,绝对温度,"(30,100]秒",0.5231053149791056,0.4905491420200893,-0.4905491420200893,0.932373046875,70,实际观测
