运行臂,功率_瓦,材料,时间窗,权重口径,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,验证点数,完整场推理秒
原始LF_B0,410.0,SiC,全时段,节点等权,8.828902369265107,7.830670921222433,-7.753938213985102,25.572021484375,34138,0.009523073997115716
原始LF_B0,410.0,SiC,全时段,轴对称有限元集总真实体积,7.111795608793231,6.284777902045607,-6.198942110526744,25.572021484375,34138,0.009523073997115716
原始LF_B0,410.0,SiC,"[0,30]秒",节点等权,6.700270203948077,5.606161128839798,-5.198603974291559,25.572021484375,5408,0.009523073997115716
原始LF_B0,410.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,5.429032239415933,4.48620592515554,-4.015724719560742,25.572021484375,5408,0.009523073997115716
原始LF_B0,410.0,SiC,"(30,100]秒",节点等权,9.221296790030125,8.519927950139179,-8.50819519249343,23.4246826171875,11830,0.009523073997115716
原始LF_B0,410.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,7.790539793923735,7.14062692312383,-7.129537068088829,23.4246826171875,11830,0.009523073997115716
原始LF_B0,410.0,SiC,"(100,200]秒",节点等权,9.141632547427392,8.060034134543153,-8.043665285731208,25.04449462890625,16900,0.009523073997115716
原始LF_B0,410.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,7.088742057905073,6.261226619895672,-6.246155205342405,25.04449462890625,16900,0.009523073997115716
原始LF_B0,490.0,Cu,全时段,节点等权,3.5890186302405427,3.108778337754271,1.0514594865295828,12.9259033203125,82921,0.009735018000355922
原始LF_B0,490.0,Cu,全时段,轴对称有限元集总真实体积,3.0735101953715205,2.709427469517351,2.0792321951148693,12.9259033203125,82921,0.009735018000355922
原始LF_B0,490.0,Cu,"[0,30]秒",节点等权,3.5719986527521876,3.239043750367995,2.169657575953457,11.478363037109375,13136,0.009735018000355922
原始LF_B0,490.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,3.451703719454429,3.196254868423422,2.8499457333919906,11.478363037109375,13136,0.009735018000355922
原始LF_B0,490.0,Cu,"(30,100]秒",节点等权,3.658803192554221,3.1864333057685665,0.9003121968951872,11.732208251953125,28735,0.009735018000355922
原始LF_B0,490.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,3.053786192145127,2.720564590847913,2.0792841455847917,11.732208251953125,28735,0.009735018000355922
原始LF_B0,490.0,Cu,"(100,200]秒",节点等权,3.5448563002773334,3.0127349281078715,0.79943920065802,12.9259033203125,41050,0.009735018000355922
原始LF_B0,490.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,2.95658068112211,2.5458467169360164,1.8325674975372461,12.9259033203125,41050,0.009735018000355922
原始LF_B0,490.0,SiC,全时段,节点等权,10.166626568909807,8.98679244845828,-8.890341407686037,30.395355224609375,34138,0.009735018000355922
原始LF_B0,490.0,SiC,全时段,轴对称有限元集总真实体积,8.171394889404626,7.194493618678145,-7.086791799947904,30.395355224609375,34138,0.009735018000355922
原始LF_B0,490.0,SiC,"[0,30]秒",节点等权,7.755252355228406,6.488816436225846,-6.008705500314927,30.395355224609375,5408,0.009735018000355922
原始LF_B0,490.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,6.280799478368602,5.193194993934079,-4.637439856097105,30.395355224609375,5408,0.009735018000355922
原始LF_B0,490.0,SiC,"(30,100]秒",节点等权,10.56611631634172,9.714084037722719,-9.692012631439699,27.3929443359375,11830,0.009735018000355922
原始LF_B0,490.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,8.8976840117275,8.099001354679308,-8.077522913392821,27.3929443359375,11830,0.009735018000355922
原始LF_B0,490.0,SiC,"(100,200]秒",节点等权,10.554229824197819,9.27704065988755,-9.25129504141723,29.32342529296875,16900,0.009735018000355922
原始LF_B0,490.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,8.17540058695413,7.201753763395432,-7.177072642568717,29.32342529296875,16900,0.009735018000355922
原始LF_B0,570.0,Cu,全时段,节点等权,4.117247256812164,3.6065002077790673,1.3777957073052542,14.881744384765625,82921,0.009606695006368682
原始LF_B0,570.0,Cu,全时段,轴对称有限元集总真实体积,3.59632228825419,3.2019486198299036,2.512882061872663,14.881744384765625,82921,0.009606695006368682
原始LF_B0,570.0,Cu,"[0,30]秒",节点等权,4.183082403653627,3.8034956138694476,2.6021449917271715,13.43646240234375,13136,0.009606695006368682
原始LF_B0,570.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,4.042809149751214,3.754477435876532,3.363948893860178,13.43646240234375,13136,0.009606695006368682
原始LF_B0,570.0,Cu,"(30,100]秒",节点等权,4.175275412807457,3.682139348178941,1.2061211284148252,13.3267822265625,28735,0.009606695006368682
原始LF_B0,570.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,3.56281147866252,3.2002283276691834,2.5036896906717865,13.3267822265625,28735,0.009606695006368682
原始LF_B0,570.0,Cu,"(100,200]秒",节点等权,4.054629455243831,3.490514279550234,1.106176141513541,14.881744384765625,41050,0.009606695006368682
原始LF_B0,570.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,3.46554799078661,3.0263436032074886,2.2469753354772726,14.881744384765625,41050,0.009606695006368682
原始LF_B0,570.0,SiC,全时段,节点等权,11.371091026931756,10.020791796362946,-9.900951450085751,35.29595947265625,34138,0.009606695006368682
原始LF_B0,570.0,SiC,全时段,轴对称有限元集总真实体积,9.127629369974585,8.0087599794879,-7.874386137748221,35.29595947265625,34138,0.009606695006368682
原始LF_B0,570.0,SiC,"[0,30]秒",节点等权,8.79485054055848,7.342035400796924,-6.784959177999101,35.29595947265625,5408,0.009606695006368682
原始LF_B0,570.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,7.139312115959395,5.8865459279742565,-5.237255814176528,35.29595947265625,5408,0.009606695006368682
原始LF_B0,570.0,SiC,"(30,100]秒",节点等权,11.784365960923871,10.792407917915918,-10.755290922550257,31.05364990234375,11830,0.009606695006368682
原始LF_B0,570.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,9.90374519019427,8.963155869175738,-8.925570304556079,31.05364990234375,11830,0.009606695006368682
原始LF_B0,570.0,SiC,"(100,200]秒",节点等权,11.79948104824363,10.337862557856994,-10.300031346428323,33.30584716796875,16900,0.009606695006368682
原始LF_B0,570.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,9.128212379126776,8.01979135319078,-7.982438924525659,33.30584716796875,16900,0.009606695006368682
原始LF_B0,650.0,Cu,全时段,节点等权,4.625285941998724,4.068419390707722,1.6501167591696841,16.892547607421875,82921,0.009539313003187999
原始LF_B0,650.0,Cu,全时段,轴对称有限元集总真实体积,4.076111538459502,3.6435625907430436,2.8893888978896536,16.892547607421875,82921,0.009539313003187999
原始LF_B0,650.0,Cu,"[0,30]秒",节点等权,4.745829918973067,4.3238871477988985,2.984683760481543,15.297576904296875,13136,0.009539313003187999
原始LF_B0,650.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,4.578537621946589,4.260177287727192,3.8236983974328873,15.297576904296875,13136,0.009539313003187999
原始LF_B0,650.0,Cu,"(30,100]秒",节点等权,4.673493449200641,4.141149278929156,1.461321919529007,14.94671630859375,28735,0.009539313003187999
原始LF_B0,650.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,4.029239556428618,3.6272020427079483,2.870889511952194,14.94671630859375,28735,0.009539313003187999
原始LF_B0,650.0,Cu,"(100,200]秒",节点等权,4.551702786788675,3.9357587866835413,1.3552117064983633,16.892547607421875,41050,0.009539313003187999
原始LF_B0,650.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,3.9356272828427956,3.4576982713326836,2.603359428192042,16.892547607421875,41050,0.009539313003187999
原始LF_B0,650.0,SiC,全时段,节点等权,12.55512612564836,11.044387483940413,-10.90294733616818,40.207305908203125,34138,0.009539313003187999
原始LF_B0,650.0,SiC,全时段,轴对称有限元集总真实体积,10.071283084473254,8.820222669563353,-8.661582585238634,40.207305908203125,34138,0.009539313003187999
