种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,实测点数,实际时刻数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称
1,final,validation,403.0,Cold,126,126,0.45989980179815343,0.39711313399057535,-0.39711313399057535,0.76519775390625,0.782196044921875,0.3388014755159447,0.265926300533234,-0.24693613203745038,0.615020751953125,0.63201904296875,-0.167510986328125,,冷环,训练末
1,final,validation,630.5,Cold,150,150,0.4808197567154769,0.3984999593098959,-0.04429504394531253,0.9864349365234374,1.100799560546875,1.2400294713267115,1.1438901774088541,-1.1438739013671875,2.0449020385742185,2.10504150390625,-0.334320068359375,,冷环,训练末
2,best,validation,115.2,Top,1919,19,2.1253320123939363,1.7911453445855994,-0.9446867703770274,4.007061767578122,5.55535888671875,3.8647545849451674,3.553106295062329,3.553106295062329,6.249276733398437,7.123291015625,-3.310546875,,顶部,观测最佳
2,best,validation,403.0,Top,2424,24,2.5422477112025765,2.0278947895405404,0.6382776259340485,4.8396072387695295,7.688690185546875,5.154423836115339,4.148424112917191,-3.6810106608603474,9.707691955566405,11.212432861328125,0.543212890625,,顶部,观测最佳
2,best,validation,630.5,Top,2929,29,7.457972166661517,5.470417849317439,2.3485428440654843,15.542883300781249,29.950927734375,13.819524924411759,12.020446640552894,-10.378333546814634,22.599658203125,28.61700439453125,0.81866455078125,,顶部,观测最佳
2,best,validation,115.2,Hot,100,100,1.645653582279829,1.5664096069335938,-1.5664096069335938,2.3285186767578123,2.39361572265625,1.3111602161686988,1.210208435058594,-1.210208435058594,1.9723175048828123,2.03741455078125,-1.892791748046875,,热环,观测最佳
2,best,validation,403.0,Hot,126,126,0.36452237175247265,0.3179982503255208,0.3179982503255208,0.7361297607421875,0.895965576171875,0.2526776274879339,0.18205164349268355,0.17914326985677084,0.5972747802734375,0.757110595703125,0.84747314453125,,热环,观测最佳
2,best,validation,630.5,Hot,150,150,0.9412588618049677,0.7419097900390627,-0.32211690266927095,1.503271484375,2.80743408203125,1.137733911323383,0.9481109619140625,-0.7157021077473957,1.8819976806640624,2.413848876953125,2.80743408203125,,热环,观测最佳
2,best,validation,115.2,Cold,100,100,1.703158331684856,1.5363262939453126,-1.5245849609375,2.6923431396484374,2.805267333984375,1.933645727634213,1.7783691406250002,-1.7783691406250002,2.9461273193359374,3.059051513671875,-1.7816162109375,,冷环,观测最佳
2,best,validation,403.0,Cold,126,126,0.3507022979546178,0.3131064763144841,-0.30008079892113093,0.5129623413085938,0.523468017578125,0.2911833878167435,0.25735425192212297,-0.2276931036086309,0.44057464599609375,0.451080322265625,-0.04718017578125,,冷环,观测最佳
2,best,validation,630.5,Cold,150,150,0.9843147381023962,0.9092938232421875,-0.8170359293619791,1.5417327880859375,1.56512451171875,0.6239914608664059,0.5362209065755208,-0.29671122233072916,1.0438385009765625,1.268341064453125,-0.80596923828125,,冷环,观测最佳
2,final,validation,115.2,Top,1919,19,4.856722918927157,4.303965796649051,-4.265996872353764,7.161959838867188,9.9410400390625,4.55980345410584,4.2864812758516795,4.2864812758516795,6.973254394531249,8.058685302734375,-6.609344482421875,,顶部,训练末
2,final,validation,403.0,Top,2424,24,2.4084211510655367,1.8152330930825138,-0.6847399713221791,4.910772705078124,9.768218994140625,5.509886447739132,5.030567040675092,-5.030567040675092,8.803431701660156,9.66162109375,-1.15936279296875,,顶部,训练末
2,final,validation,630.5,Top,2929,29,7.1874570278005026,4.822393985085419,0.8368763736850446,15.6513427734375,29.738525390625,16.007151075727613,14.31274435920919,-14.038838029199148,24.01845703124999,29.877197265625,-2.74981689453125,,顶部,训练末
2,final,validation,115.2,Hot,100,100,2.4044937608219654,2.3242547607421877,-2.3242547607421877,3.16754150390625,3.224609375,1.5635573716459503,1.4371087646484377,-1.4371087646484377,2.2803955078125,2.33746337890625,-2.81097412109375,,热环,训练末
2,final,validation,403.0,Hot,126,126,0.8068537364559684,0.756681654188368,-0.504695105174231,1.0143280029296875,1.1497802734375,1.1919162007023738,1.079090663364955,-1.0121108766586062,1.518829345703125,1.526092529296875,-0.57904052734375,,热环,训练末
2,final,validation,630.5,Hot,150,150,1.8683205909563032,1.6800144449869792,-1.3806028238932293,2.942866516113281,2.9794921875,2.9530721835586626,2.6798272705078126,-2.671343790690104,4.233607482910156,4.270233154296875,1.709716796875,,热环,训练末
