种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,径向窗原标识,下界_毫米,上界_毫米,下界闭端点,上界闭端点,实测点数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称,径向窗中文名称
2,final,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,4.729239691857528,4.430847614132173,-4.430847614132173,7.643057250976564,9.667449951171875,4.500036334197654,4.2837274116382265,4.2837274116382265,6.167541503906251,7.1671142578125,-6.056671142578125,,顶部,训练末,"中圈(8,17]毫米"
2,final,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,2.737841610597676,2.1618294115081738,-2.045621491695325,6.844461059570312,7.5537109375,5.363190011999238,5.057568612471342,5.057568612471342,7.30128173828125,8.058685302734375,-3.03546142578125,,顶部,训练末,"外圈(17,25]毫米"
2,final,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,1.3663039276451736,1.1027557478131447,-0.5477257340421479,2.933309936523436,3.43768310546875,3.8957427648837206,3.6803970902433196,-3.6803970902433196,5.5080825805664055,6.58477783203125,-1.15936279296875,,顶部,训练末,"中心[0,8]毫米"
2,final,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.4076549758984296,2.0206129701084623,-1.0457418352113217,3.7748565673828125,7.229034423828125,7.006584962760908,6.683264181166111,-6.683264181166111,9.395077514648436,9.66162109375,-1.58807373046875,,顶部,训练末,"中圈(8,17]毫米"
2,final,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,3.1030704722837297,2.2855474086389975,-0.4270443322832032,6.95089874267578,9.768218994140625,4.983405231687849,4.553663352916917,-4.553663352916917,7.51141357421875,8.452239990234375,1.613525390625,,顶部,训练末,"外圈(17,25]毫米"
2,final,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,6.035346861050797,3.788276954994765,1.4150920503687079,16.0133544921875,20.28985595703125,17.572350583076766,16.541798703192256,-16.53858055285299,24.849719238281246,29.3314208984375,-2.74981689453125,,顶部,训练末,"中心[0,8]毫米"
2,final,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,7.202209137973007,4.727048715951577,3.277109924511435,15.278982543945306,21.69610595703125,18.588437499377367,17.369926714763093,-17.369926714763093,25.264994812011718,29.877197265625,-0.41748046875,,顶部,训练末,"中圈(8,17]毫米"
2,final,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,8.801098719433321,6.679828718525158,-2.5091831928278685,15.921569824218746,29.738525390625,8.954360020365584,7.55224512723239,-6.551475924079794,16.822686767578123,21.847259521484375,4.29205322265625,,顶部,训练末,"外圈(17,25]毫米"
3,best,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,3.057150441459725,2.9073842701159025,-2.903362976877313,4.466909790039063,4.65826416015625,1.4182868397025978,1.1497725436561985,0.9727223044947574,3.1780670166015623,3.35382080078125,-4.31512451171875,,顶部,观测最佳,"中心[0,8]毫米"
3,best,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,2.0962159883818066,1.7762100041261193,-1.544162371005231,3.9157058715820314,4.54534912109375,2.9031710437960614,2.621415835374977,2.621415835374977,4.741514587402344,5.57257080078125,-3.86322021484375,,顶部,观测最佳,"中圈(8,17]毫米"
3,best,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,1.6323969998921577,1.3103741367467854,0.1823104055304276,3.1161743164062496,3.842376708984375,3.6874187842386337,3.331894626647852,3.331894626647852,5.695822143554685,6.39276123046875,-0.4503173828125,,顶部,观测最佳,"外圈(17,25]毫米"
3,best,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,2.3601002679563794,1.8329973586561736,1.7805242338934022,5.179679870605468,5.860015869140625,4.271258493567073,3.972572346611969,-3.972572346611969,5.981065368652343,6.866912841796875,1.01458740234375,,顶部,观测最佳,"中心[0,8]毫米"
3,best,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.151382053974714,1.5056775706894017,0.773113429941439,5.757807922363276,6.428436279296875,5.805781101932684,5.44967494175236,-5.44967494175236,7.906735229492187,8.172821044921875,0.25689697265625,,顶部,观测最佳,"中圈(8,17]毫米"
3,best,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,2.8818146401188356,2.364792742778534,0.7822140654588003,5.595046997070311,8.0699462890625,2.4560550965329138,1.9523531064380466,-1.6552837932253692,4.905519104003906,6.3388671875,2.26593017578125,,顶部,观测最佳,"外圈(17,25]毫米"
3,best,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,6.557738784782396,4.930161497017985,4.311215743066899,16.617990112304685,18.80474853515625,13.524249746387788,12.621562762079954,-12.58132717512663,19.582658386230467,23.134735107421875,0.5380859375,,顶部,观测最佳,"中心[0,8]毫米"
3,best,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,6.548024882729015,5.011579150917242,4.689291066817858,13.518341064453125,15.74462890625,9.820971023805239,8.68063974160474,-8.374671336739123,14.673831176757812,19.43212890625,3.22149658203125,,顶部,观测最佳,"中圈(8,17]毫米"
3,best,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,7.710430369895621,5.940872814366436,-0.6763352151929867,14.132739257812492,28.10882568359375,5.5300448330694945,4.185768721522258,0.8918645885682955,10.9557373046875,16.284912109375,4.767578125,,顶部,观测最佳,"外圈(17,25]毫米"
3,final,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,4.751410336890952,4.665416817916067,-4.665416817916067,6.113591003417969,6.279876708984375,1.5371648924494081,1.271183415463096,1.19865598176655,3.128689575195312,3.462646484375,-6.130401611328125,,顶部,训练末,"中心[0,8]毫米"
3,final,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,3.25948990374103,2.9559537207174023,-2.9295838562368646,5.136846923828125,6.255950927734375,2.6439874131506027,2.4292299594098363,2.4292299594098363,4.229237365722656,5.191741943359375,-5.530548095703125,,顶部,训练末,"中圈(8,17]毫米"
3,final,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,1.5703300556654294,1.2929081042227373,-0.419863370807167,3.054965209960937,3.9637451171875,3.236974124535978,2.881067692758174,2.881067692758174,5.301791381835933,6.079254150390625,-1.47149658203125,,顶部,训练末,"外圈(17,25]毫米"
3,final,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,1.7597782216552866,1.2759880908221704,-0.08280038030629794,4.162011718749999,6.110321044921875,6.150155416293955,5.894357196407372,-5.894357196407372,7.618217468261719,8.157440185546875,-1.1265869140625,,顶部,训练末,"中心[0,8]毫米"
3,final,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.1212948460968026,1.6672899347164094,-0.623723778122077,4.44366149902343,6.793426513671875,7.061166992440322,6.765284060107238,-6.765284060107238,8.9507080078125,9.233123779296875,-0.96990966796875,,顶部,训练末,"中圈(8,17]毫米"
3,final,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,3.1453992732721643,2.316486336940874,-1.0147565891999695,6.790547180175781,9.363006591796875,5.371789764733391,4.991853731823576,-4.991853731823576,7.820304870605467,8.773651123046875,0.103912353515625,,顶部,训练末,"外圈(17,25]毫米"
3,final,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,6.365090696800001,4.4346969080954395,3.35380975662021,17.3453857421875,19.951751708984375,16.881931939180507,15.976503036472144,-15.976503036472144,23.92830657958984,28.146331787109375,0.09698486328125,,顶部,训练末,"中心[0,8]毫米"
3,final,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,6.16097074650869,4.192046974805739,3.0976062889361504,13.69208984375,17.690826416015625,13.021334376486404,11.796375343471091,-11.738325386859747,19.342724609374997,24.270233154296875,1.91632080078125,,顶部,训练末,"中圈(8,17]毫米"
3,final,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,8.44205187512757,6.2407813048991025,-3.0676133425675682,14.93212890625,30.4664306640625,7.113274011317525,5.661851364127584,-4.450658046729913,15.816394042968737,21.725738525390625,1.91241455078125,,顶部,训练末,"外圈(17,25]毫米"
4,best,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,1.722113366249623,1.1304113488448293,-0.05224488910875824,5.854508972167968,6.9613037109375,6.5063119807769185,6.271651518972297,6.271651518972297,7.764341735839844,8.015350341796875,0.314605712890625,,顶部,观测最佳,"中心[0,8]毫米"
4,best,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,1.614526635163848,1.0149599041855129,-0.0880865353589867,5.826808166503906,6.288482666015625,6.110647765330042,5.893208732381899,5.893208732381899,7.507240295410156,8.349395751953125,0.753662109375,,顶部,观测最佳,"中圈(8,17]毫米"
4,best,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,1.946358844930487,1.260685970908717,-0.774421509373131,6.322680664062498,7.58612060546875,6.198660321458126,5.9622968707168305,5.9622968707168305,8.258847045898435,8.700103759765625,-0.6143798828125,,顶部,观测最佳,"外圈(17,25]毫米"
4,best,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,2.4583733275499218,1.9177942850732825,1.9108464764615465,5.9454299926757805,7.132049560546875,4.98573328671584,4.742654841072188,-4.74155640134607,6.328125,7.074615478515625,-0.2877197265625,,顶部,观测最佳,"中心[0,8]毫米"
4,best,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.2765504773791863,1.4984996221562548,0.6563430637434116,5.964791870117187,7.526214599609375,5.898022939307992,5.503782764699341,-5.451292455080036,7.855451965332031,8.147705078125,1.1549072265625,,顶部,观测最佳,"中圈(8,17]毫米"
4,best,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,2.8408639917926815,2.184114053218262,1.0014921463242745,6.383407592773436,7.920806884765625,2.5583187731948325,1.9954889008003411,-0.8841797925734817,5.180526733398437,6.37567138671875,1.87860107421875,,顶部,观测最佳,"外圈(17,25]毫米"
4,best,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,5.667763003813455,3.5393639408949946,1.2723766885139112,14.164062499999998,17.56439208984375,17.055485321650064,16.13316433699386,-16.13316433699386,23.976484680175776,28.890838623046875,-3.3653564453125,,顶部,观测最佳,"中心[0,8]毫米"
4,best,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,6.191969276002255,4.1697779414770935,3.0791422142241704,14.239016723632805,16.681671142578125,13.82058073618683,12.698395169554685,-12.698395169554685,19.256564331054683,24.181671142578125,0.12994384765625,,顶部,观测最佳,"中圈(8,17]毫米"
4,best,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,8.897578537002905,6.867304817874601,-1.600500076411276,15.51861572265625,28.90765380859375,12.201959240384028,10.757817546093966,-10.34725160927833,21.7281982421875,29.1470947265625,3.31915283203125,,顶部,观测最佳,"外圈(17,25]毫米"
4,final,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,5.507593373848516,5.463222403275339,-5.463222403275339,6.415435791015625,6.498504638671875,0.7159906850300688,0.5126510921277498,-0.09205903505024156,1.7123580932617188,2.5386962890625,-5.16107177734375,,顶部,训练末,"中心[0,8]毫米"
4,final,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,4.713717983669145,4.638081288477133,-4.638081288477133,5.832298278808594,6.291839599609375,0.8731770943530242,0.6322771038925438,0.37712409482364767,1.9360961914062502,2.752044677734375,-5.557464599609375,,顶部,训练末,"中圈(8,17]毫米"
4,final,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,3.9735237362210416,3.830306739137884,-3.830306739137884,5.5701965332031245,7.26177978515625,2.1570082939537585,1.9341188275642944,1.9341188275642944,3.6082153320312487,4.742889404296875,-4.234344482421875,,顶部,训练末,"外圈(17,25]毫米"
4,final,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,2.654832015450599,1.699569182237844,0.19656919813863094,6.823854064941406,9.857513427734375,9.498736986323616,9.124408012859904,-9.124408012859904,11.107673645019531,11.532684326171875,-1.3411865234375,,顶部,训练末,"中心[0,8]毫米"
4,final,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.4437780243311624,1.9068425299512681,-0.708737382220696,4.265647888183592,8.199127197265625,8.409250488094333,8.06865167563872,-8.06865167563872,10.269097900390625,10.631256103515625,-1.8580322265625,,顶部,训练末,"中圈(8,17]毫米"
4,final,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,3.451777579549764,2.6354804717005056,-1.6314161571074388,7.197528076171874,10.122711181640625,6.365887405089617,5.961543963550209,-5.961543963550209,9.05015869140625,10.03570556640625,0.34423828125,,顶部,训练末,"外圈(17,25]毫米"
