种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,时间窗原标识,下界_秒,上界_秒,下界闭端点,上界闭端点,实测点数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称,时间窗中文名称
1,final,validation,115.2,Cold,time_0_30_s,0.0,30.0,True,True,30,0.2274443428572836,0.1930104573567708,-0.03043518066406249,0.39003753662109375,0.410400390625,0.47522832730579057,0.4201263427734375,-0.4183746337890625,0.6939071655273437,0.71234130859375,-0.32440185546875,,冷环,训练末,"[0,30]秒"
1,final,validation,115.2,Cold,time_30_100_s,30.0,100.0,False,True,70,1.4513697677315243,1.3386683872767855,-1.3386683872767855,2.0772705078125,2.109954833984375,1.8153830962438056,1.7266078404017857,-1.7266078404017857,2.4652099609375,2.497894287109375,-1.173797607421875,,冷环,训练末,"(30,100]秒"
1,final,validation,115.2,Cold,time_100_200_s,100.0,200.0,False,True,0,,,,,,,,,,,,预登记时间窗内无观测，不外推真值,冷环,训练末,"(100,200]秒"
1,final,validation,403.0,Cold,time_0_30_s,0.0,30.0,True,True,30,0.1407736340456877,0.12636210123697916,-0.12636210123697916,0.21707916259765622,0.253326416015625,0.06646040106352444,0.055943806966145836,0.023814900716145837,0.10788269042968747,0.1370849609375,-0.253326416015625,,冷环,训练末,"[0,30]秒"
1,final,validation,403.0,Cold,time_30_100_s,30.0,100.0,False,True,70,0.5777084327835206,0.5486733572823662,-0.5486733572823662,0.775225830078125,0.782196044921875,0.4376116149376948,0.39849635532924116,-0.39849635532924116,0.625048828125,0.63201904296875,-0.54046630859375,,冷环,训练末,"(30,100]秒"
1,final,validation,403.0,Cold,time_100_200_s,100.0,200.0,False,True,26,0.3218442932492779,0.301471416766827,-0.301471416766827,0.492095947265625,0.522613525390625,0.18864976523587257,0.15129441481370196,-0.15129441481370196,0.3419189453125,0.3724365234375,-0.167510986328125,,冷环,训练末,"(100,200]秒"
1,final,validation,630.5,Cold,time_0_30_s,0.0,30.0,True,True,30,0.5438482181908985,0.4679890950520834,0.4679890950520834,1.0800781249999998,1.100799560546875,0.6896830571154239,0.631671142578125,-0.6315897623697917,0.8944854736328125,0.90447998046875,0.23663330078125,,冷环,训练末,"[0,30]秒"
1,final,validation,630.5,Cold,time_30_100_s,30.0,100.0,False,True,70,0.2880593202362193,0.2613189697265625,0.09655805315290177,0.44745483398437497,0.466766357421875,1.0390887585488797,1.0030208042689732,-1.0030208042689732,1.3523818969726562,1.3560791015625,-0.216888427734375,,冷环,训练末,"(30,100]秒"
1,final,validation,630.5,Cold,time_100_200_s,100.0,200.0,False,True,50,0.6324009360533935,0.54885986328125,-0.54885986328125,0.9947219848632812,1.005462646484375,1.6781042906546217,1.6484387207031248,-1.6484387207031248,2.0943008422851563,2.10504150390625,-0.334320068359375,,冷环,训练末,"(100,200]秒"
2,best,validation,115.2,Top,time_0_30_s,0.0,30.0,True,True,606,2.4068357634719373,1.9470863971773154,-1.587032154448355,5.0557861328125,5.55535888671875,3.2848612250563995,2.9107609109910015,2.9107609109910015,5.1467132568359375,5.58306884765625,-2.42999267578125,,顶部,观测最佳,"[0,30]秒"
