LF优化步,训练热流_W_m2,LF训练消费点数,实际LF训练目标
159,65000,512,0.001304867910221219
160,80000,512,0.00307572353631258
161,20000,512,0.00023124241852201521
162,35000,512,0.00030781186069361866
163,50000,512,0.001369743375107646
164,65000,512,0.0008079290273599327
165,80000,512,0.0019449316896498203
166,20000,512,0.00012178484757896513
167,35000,512,0.00022588938008993864
168,50000,512,0.0002152736997231841
169,65000,512,0.0010187766747549176
170,80000,512,0.0018143979832530022
171,20000,512,8.036009967327118e-05
172,35000,512,0.00020153113291598856
173,50000,512,0.000706070102751255
174,65000,512,0.001159797189757228
175,80000,512,0.0020180060528218746
176,20000,512,9.838896949077025e-05
177,35000,512,0.00027617847081273794
178,50000,512,0.0006649893475696445
179,65000,512,0.0005860311212018132
180,80000,512,0.001181470463052392
181,20000,512,0.00018468237249180675
182,35000,512,0.0006185082020238042
183,50000,512,0.000962496327701956
184,65000,512,0.0008356493781320751
185,80000,512,0.001096238847821951
186,20000,512,8.298871398437768e-05
187,35000,512,0.00048245041398331523
188,50000,512,0.0008792426669970155
189,65000,512,0.0009647906408645213
190,80000,512,0.0013716761022806168
191,20000,512,0.0001857551105786115
192,35000,512,0.0004084366955794394
193,50000,512,0.0003249996807426214
194,65000,512,0.0005116090178489685
195,80000,512,0.0010140067897737026
196,20000,512,0.00017231091624125838
197,35000,512,0.00022097627515904605
198,50000,512,0.0003289637097623199
199,65000,512,0.002055061049759388
200,80000,512,0.0022734988015145063
201,20000,512,6.648348062299192e-05
202,35000,512,0.00032203964656218886
203,50000,512,0.0009821215644478798
204,65000,512,0.0016012396663427353
205,80000,512,0.000919914455153048
206,20000,512,0.00019173030159436166
207,35000,512,0.00038089638110250235
208,50000,512,0.0006823362782597542
209,65000,512,0.0009577659657225013
210,80000,512,0.0012445880565792322
211,20000,512,9.955339191947132e-05
212,35000,512,0.0002764242235571146
213,50000,512,0.00025751491193659604
214,65000,512,0.0015209143748506904
215,80000,512,0.0013800201704725623
216,20000,512,0.00011264277418376878
217,35000,512,0.00022413310944102705
218,50000,512,0.0007103293319232762
219,65000,512,0.0009306506835855544
220,80000,512,0.001371061778627336
221,20000,512,0.00013977658818475902
222,35000,512,0.0002590464137028903
223,50000,512,0.000702990684658289
224,65000,512,0.0009966278448700905
225,80000,512,0.0011675399728119373
226,20000,512,0.00010644887515809387
227,35000,512,0.00032890800503082573
228,50000,512,0.000463820353616029
229,65000,512,0.0008876389474608004
230,80000,512,0.0014330025296658278
231,20000,512,8.342684304807335e-05
232,35000,512,0.00028879506862722337
233,50000,512,0.0008772662840783596
234,65000,512,0.0013295543612912297
235,80000,512,0.0006187850376591086
236,20000,512,0.00011737736349459738
237,35000,512,0.00016714667435735464
238,50000,512,0.0008984541054815054
239,65000,512,0.0018617999739944935
240,80000,512,0.0006885465700179338
241,20000,512,8.730786794330925e-05
242,35000,512,0.0004583527334034443
243,50000,512,0.00048027344746515155
244,65000,512,0.0022085201926529408
245,80000,512,0.0020694397389888763
246,20000,512,0.00017238673171959817
247,35000,512,0.00030872138449922204
248,50000,512,0.0007119118236005306
249,65000,512,0.0007507514674216509
250,80000,512,0.0025171348825097084
251,20000,512,8.065123984124511e-05
252,35000,512,0.00024703380768187344
253,50000,512,0.0005240500904619694
254,65000,512,0.000851592281833291
255,80000,512,0.001437001395970583
256,20000,512,5.4549429478356615e-05
257,35000,512,0.0002027997688855976
258,50000,512,0.0005098687834106386
259,65000,512,0.00039742616354487836
260,80000,512,0.0010731134098023176
261,20000,512,6.638164632022381e-05
262,35000,512,0.000262461049715057
263,50000,512,0.0006336049409583211
264,65000,512,0.0010092632146552205
265,80000,512,0.0026411719154566526
266,20000,512,0.00010483713413123041
267,35000,512,0.00016671521007083356
268,50000,512,0.0006591738201677799
269,65000,512,0.0006720453966408968
270,80000,512,0.0020342268981039524
271,20000,512,6.215154280653223e-05
272,35000,512,0.00032253662357106805
273,50000,512,0.00048490596236661077
274,65000,512,0.0008552336366847157
275,80000,512,0.0016731296200305223
276,20000,512,0.00016904398216865957
277,35000,512,0.00019884771609213203
278,50000,512,0.0008060696418397129
279,65000,512,0.0008478965610265732
280,80000,512,0.001148679992184043
281,20000,512,0.00015255381003953516
282,35000,512,0.0003181062638759613
283,50000,512,0.0007119354559108615
284,65000,512,0.0012362349079921842
285,80000,512,0.0015289057046175003
286,20000,512,0.00011404817632865161
287,35000,512,0.00022309436462819576
288,50000,512,0.0005196145502850413
289,65000,512,0.0007237163372337818
290,80000,512,0.0012640308123081923
291,20000,512,0.00010615728388074785
292,35000,512,0.0003927144571207464
293,50000,512,0.0006171818822622299
294,65000,512,0.0016356161795556545
295,80000,512,0.0011861003004014492
296,20000,512,7.884839578764513e-05
297,35000,512,0.00025234377244487405
298,50000,512,0.0006316384533420205
299,65000,512,0.0008946898742578924
300,80000,512,0.0013484539231285453
