方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,时刻_s,顶部网络入流_W_m2,顶部已知入流差_W_m2,底部网络外流_W_m2,底部固定温边界差_K,界面SiC热流_W_m2,界面Cu热流_W_m2,界面热流差_W_m2,界面温跳_K,界面Rc温跳约束差_K,网络储热率_W_m2,已知入流热预算差_W_m2,已知入流热预算差_W
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,18960.6953125,-1039.3046875,5442.85595703125,-0.10455322265625,6660.9375,6591.22705078125,69.71044921875,0.47589111328125,-0.19020259380340576,489.83287811279297,-14067.310546875,-39.774383544921875
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,18990.21875,-1009.78125,5500.95849609375,-0.1011962890625,6711.5927734375,6648.6669921875,62.92578125,0.485015869140625,-0.1861433982849121,492.06758880615234,-14006.974609375,-39.60378646850586
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,19076.390625,-923.609375,5683.220703125,-0.0911865234375,6866.865234375,6826.9912109375,39.8740234375,0.512786865234375,-0.17389965057373047,498.4740524291992,-13818.3046875,-39.070335388183594
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,19211.80859375,-788.19140625,6014.97265625,-0.07476806640625,7136.5029296875,7145.0146484375,-8.51171875,0.560455322265625,-0.15319496393203735,507.93868255615234,-13477.0888671875,-38.10557174682617
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,19895.28515625,-104.71484375,10249.2060546875,0.0279541015625,9707.8212890625,10850.7421875,-1142.9208984375,1.000152587890625,0.029370486736297607,534.7858734130859,-9216.0078125,-26.057647705078125
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,19833.044921875,-166.955078125,17709.607421875,-0.02398681640625,13485.9541015625,18332.169921875,-4846.2158203125,1.699615478515625,0.35102009773254395,367.61492919921875,-1922.77734375,-5.436524868011475
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,18753.681640625,-1246.318359375,16456.896484375,-0.10107421875,18828.35546875,19303.8203125,-475.46484375,2.2569580078125,0.3741225004196167,21.226081848144553,-3521.876953125,-9.95787239074707
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,13798.4033203125,-6201.5966796875,28080.322265625,0.16607666015625,16184.8642578125,36839.9765625,-20655.11328125,1.28094482421875,-0.3375415802001953,147.0393524169922,8227.361328125,23.26231575012207
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,13779.966796875,-6220.033203125,28133.435546875,0.16412353515625,16241.6689453125,36928.01953125,-20686.3515625,1.28631591796875,-0.3378509283065796,146.9842987060547,8280.419921875,23.412336349487305
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,13723.6376953125,-6276.3623046875,28293.716796875,0.15814208984375,16410.62890625,37195.78125,-20785.15234375,1.30255126953125,-0.33851158618927,143.8395233154297,8437.556640625,23.856630325317383
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,13626.9248046875,-6373.0751953125,28564.029296875,0.14776611328125,16686.763671875,37653.76171875,-20966.998046875,1.32958984375,-0.33908653259277344,139.1752166748047,8703.205078125,24.60773277282715
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,12861.40625,-7138.59375,30846.09375,0.05291748046875,18513.119140625,41708.90625,-23195.787109375,1.540283203125,-0.31102871894836426,95.06729125976562,10941.16015625,30.935401916503906
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,12437.517578125,-7562.482421875,33656.0546875,-0.06585693359375,19398.42578125,46523.8125,-27125.38671875,1.7418212890625,-0.1980212926864624,21.795913696289055,13677.8515625,38.673213958740234
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,13826.521484375,-6173.478515625,36892.45703125,-0.12890625,16795.29296875,47479.1484375,-30683.85546875,1.76519775390625,0.08566844463348389,-79.28001403808594,16813.17578125,47.53813552856445
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,15565.1015625,-4434.8984375,28679.892578125,-0.00103759765625,15852.83203125,35528.50390625,-19675.671875,1.2041015625,-0.38118159770965576,188.8300323486328,8868.72265625,25.075721740722656
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,15551.0302734375,-4448.9697265625,28736.48828125,-0.00238037109375,15910.3505859375,35604.41796875,-19694.06640625,1.2098388671875,-0.38119614124298096,188.43711853027344,8924.92578125,25.23463249206543
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,15507.455078125,-4492.544921875,28907.314453125,-0.00628662109375,16081.548828125,35836.21875,-19754.669921875,1.22705078125,-0.38110411167144775,185.772705078125,9093.087890625,25.710100173950195
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,15430.8212890625,-4569.1787109375,29195.451171875,-0.01318359375,16361.6875,36235.89453125,-19874.20703125,1.25567626953125,-0.3804924488067627,181.55709838867188,9377.0078125,26.51286506652832
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,14761.623046875,-5238.376953125,31618.54296875,-0.08099365234375,18230.970703125,39937.82421875,-21706.853515625,1.4808349609375,-0.34226202964782715,136.89183044433594,11755.435546875,33.23771286010742
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,14253.60546875,-5746.39453125,34546.296875,-0.1676025390625,19191.1484375,44701.78515625,-25510.63671875,1.702880859375,-0.2162339687347412,62.8465576171875,14609.14453125,41.3063850402832
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,14849.9189453125,-5150.0810546875,37500.76953125,-0.17523193359375,16715.7109375,46416.22265625,-29700.51171875,1.771240234375,0.09966921806335449,-50.23626708984375,17450.53515625,49.34022521972656
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,17296.7265625,-2703.2734375,10848.056640625,0.58587646484375,14150.4931640625,20646.3671875,-6495.8740234375,0.79150390625,-0.6235454082489014,240.34979248046875,-8911.59375,-25.196937561035156
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,17318.662109375,-2681.337890625,10865.06640625,0.5880126953125,14201.4130859375,20629.359375,-6427.9462890625,0.794189453125,-0.6259517669677734,240.64259338378906,-8894.291015625,-25.14801597595215
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,17380.66015625,-2619.33984375,10921.076171875,0.59429931640625,14356.251953125,20576.578125,-6220.326171875,0.80230712890625,-0.6333180665969849,241.35777282714844,-8837.56640625,-24.98763084411621
