方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,非观测时窗,非探针内部厚度加权RMSE_K
F2,3,lf_same_physics_coarse,20000,train,0cfc46947a911aa69a35f17a271d2e8fa7d4e34bd443862e009425bf6f2370b3,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.5812731272792344
F3,3,lf_same_physics_coarse,20000,train,40dc114e0761003675a86ae395f0e6078d6c3c481583c2b7a80b5bc4da8628c5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.1181025019366404
F3,3,lf_same_physics_coarse,20000,train,40dc114e0761003675a86ae395f0e6078d6c3c481583c2b7a80b5bc4da8628c5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.7072406078862687
F3,3,lf_same_physics_coarse,20000,train,40dc114e0761003675a86ae395f0e6078d6c3c481583c2b7a80b5bc4da8628c5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.1121662539731176
F2,4,lf_same_physics_coarse,20000,train,f4f0b6a755c80696b456641b9908003bed22b5cb3fac30f1366a63523a5f41aa,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",0.5454903569047349
F2,4,lf_same_physics_coarse,20000,train,f4f0b6a755c80696b456641b9908003bed22b5cb3fac30f1366a63523a5f41aa,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.330253984667787
F2,4,lf_same_physics_coarse,20000,train,f4f0b6a755c80696b456641b9908003bed22b5cb3fac30f1366a63523a5f41aa,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.6985407805285531
F3,4,lf_same_physics_coarse,20000,train,ebe76fffb4c4d5dbd95c1dd0a53cac1646dc50cca0f85b39be73fb93750d185d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",0.5684618765070759
F3,4,lf_same_physics_coarse,20000,train,ebe76fffb4c4d5dbd95c1dd0a53cac1646dc50cca0f85b39be73fb93750d185d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.2593003943442431
F3,4,lf_same_physics_coarse,20000,train,ebe76fffb4c4d5dbd95c1dd0a53cac1646dc50cca0f85b39be73fb93750d185d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.6779406237317015
F2,0,lf_contact_mismatch_coarse,20000,train,cb2e149fdb282417a9a4c24c8347ebcbae36bb470b5fef0ad55fe81e48ca34ef,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",0.717710575957992
F2,0,lf_contact_mismatch_coarse,20000,train,cb2e149fdb282417a9a4c24c8347ebcbae36bb470b5fef0ad55fe81e48ca34ef,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.6393743210500049
F2,0,lf_contact_mismatch_coarse,20000,train,cb2e149fdb282417a9a4c24c8347ebcbae36bb470b5fef0ad55fe81e48ca34ef,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.5967339352053673
F3,0,lf_contact_mismatch_coarse,20000,train,97c3424f03a224c8d1c22779f0fd586745bc3992dd5fdeee8ee64120a86078c3,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.2989686194441392
F3,0,lf_contact_mismatch_coarse,20000,train,97c3424f03a224c8d1c22779f0fd586745bc3992dd5fdeee8ee64120a86078c3,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.9396439436607434
F3,0,lf_contact_mismatch_coarse,20000,train,97c3424f03a224c8d1c22779f0fd586745bc3992dd5fdeee8ee64120a86078c3,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.20971621275247834
F2,1,lf_contact_mismatch_coarse,20000,train,217697d41127dec7ae2b31b369d4488e2c4de424e96fe2dec66512eb446ad92f,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.3207074004520836
F2,1,lf_contact_mismatch_coarse,20000,train,217697d41127dec7ae2b31b369d4488e2c4de424e96fe2dec66512eb446ad92f,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.9660680657543438
F2,1,lf_contact_mismatch_coarse,20000,train,217697d41127dec7ae2b31b369d4488e2c4de424e96fe2dec66512eb446ad92f,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.321436961781817
F3,1,lf_contact_mismatch_coarse,20000,train,cfcf416e44092f5c7ca961bedfc5f1178f3ca5aa28ac12c181cb23b6167f13fd,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.2598114408512044
F3,1,lf_contact_mismatch_coarse,20000,train,cfcf416e44092f5c7ca961bedfc5f1178f3ca5aa28ac12c181cb23b6167f13fd,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.8803020535032873
F3,1,lf_contact_mismatch_coarse,20000,train,cfcf416e44092f5c7ca961bedfc5f1178f3ca5aa28ac12c181cb23b6167f13fd,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.3556032322692939
F2,2,lf_contact_mismatch_coarse,20000,train,704d134e5f08ed6b1e4a2ce32c40b16d568b0577b75458b0eda2d472b27d7470,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.6052215307817808
F2,2,lf_contact_mismatch_coarse,20000,train,704d134e5f08ed6b1e4a2ce32c40b16d568b0577b75458b0eda2d472b27d7470,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",1.0607017773600895
F2,2,lf_contact_mismatch_coarse,20000,train,704d134e5f08ed6b1e4a2ce32c40b16d568b0577b75458b0eda2d472b27d7470,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.34423033945796044
F3,2,lf_contact_mismatch_coarse,20000,train,1d127b21115dd6a8aa55b0d33961c1f5ddbb2657fbc8de8e7e5316018588fb50,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.319779840370948
F3,2,lf_contact_mismatch_coarse,20000,train,1d127b21115dd6a8aa55b0d33961c1f5ddbb2657fbc8de8e7e5316018588fb50,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.7221444313840657
