方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,双材料厚度加权RMSE_K,SiC厚度加权RMSE_K,Cu厚度加权RMSE_K,非探针附近内部RMSE_K,非探针附近真实单元数,七时七深细网格差_K,仅七时七深差若近模型全域RMSE须限缩结论,七时刻名义余额均值绝对差_W,七时刻名义余额最坏绝对差_W,真CUDA完整单元网络前向_秒
F2,0,lf_same_physics_coarse,30000,validation,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.6849849571449548,0.8219425121337969,0.13751226885860007,0.7217668584381252,240,0.05851997273936149,false,24.86174992152623,54.460411071777344,0.0844958060188219
F3,0,lf_same_physics_coarse,30000,validation,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.8117252897190438,0.9723986825765359,0.1829076666948517,0.8562166929688988,240,0.05851997273936149,false,33.04087366376604,57.58047103881836,0.0854990610096138
F2,1,lf_same_physics_coarse,30000,validation,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.7878107974391373,0.807428734177519,0.7432127421507052,0.7902189701129084,240,0.05851997273936149,false,48.523953029087615,59.91443634033203,0.08501659400644712
F3,1,lf_same_physics_coarse,30000,validation,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.0742927298130147,1.26046476390525,0.4535873496509637,1.1215471342656276,240,0.05851997273936149,false,39.02445520673479,44.542991638183594,0.08588481298647821
F2,2,lf_same_physics_coarse,30000,validation,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.7353039053977685,0.8846872658133952,0.11257190277782489,0.7705995816290286,240,0.05851997273936149,false,24.317252567836217,33.5406494140625,0.08448637500987388
F3,2,lf_same_physics_coarse,30000,validation,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.0893602488821843,1.3133890268132373,0.11075101332626955,1.145517153819658,240,0.05851997273936149,false,35.04133871623448,50.06950378417969,0.0858144760131836
F2,3,lf_same_physics_coarse,30000,validation,0cfc46947a911aa69a35f17a271d2e8fa7d4e34bd443862e009425bf6f2370b3,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.428373161917382,1.7163701601291264,0.25343270597657247,1.509851387113198,240,0.05851997273936149,false,16.462774412972585,19.70633888244629,0.08467583102174103
F3,3,lf_same_physics_coarse,30000,validation,40dc114e0761003675a86ae395f0e6078d6c3c481583c2b7a80b5bc4da8628c5,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.9498667832874546,1.1423062133420678,0.15430726984361715,0.997889975703132,240,0.05851997273936149,false,41.06719861711775,42.184940338134766,0.08546067800489254
F2,4,lf_same_physics_coarse,30000,validation,f4f0b6a755c80696b456641b9908003bed22b5cb3fac30f1366a63523a5f41aa,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.5946998153102777,0.5835647055246905,0.618298919230224,0.5887171539851226,240,0.05851997273936149,false,34.1725766318185,60.275733947753906,0.08458295598393306
F3,4,lf_same_physics_coarse,30000,validation,ebe76fffb4c4d5dbd95c1dd0a53cac1646dc50cca0f85b39be73fb93750d185d,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.6299118860145847,0.6669643448896259,0.5403214488102631,0.6373607375573302,240,0.05851997273936149,false,44.7868344443185,75.61177825927734,0.08569258797797374
