HF优化步,训练热流_W_m2,物理配点时刻_s,HF三探针消费点数,实际训练目标,HF可见探针目标,累计体内PDE计算次数,合法两档探针验证RMSE_K
251,20000,175.0,42,0.005011939909309149,0.0010393224656581879,251,
252,35000,175.0,42,0.008040321059525013,0.0034034927375614643,252,
253,50000,175.0,42,0.016496673226356506,0.006929394789040089,253,
254,65000,175.0,42,0.02744220569729805,0.011281024664640427,254,
255,80000,175.0,42,0.04531969502568245,0.016984257847070694,255,
256,20000,200.0,42,0.00462080305442214,0.0012087988434359431,256,
257,35000,200.0,42,0.00943495612591505,0.0038744970224797726,257,
258,50000,200.0,42,0.020261917263269424,0.007757729385048151,258,
259,65000,200.0,42,0.030618343502283096,0.012404306791722775,259,
260,80000,200.0,42,0.04656907543540001,0.01829918846487999,260,2.327606201171875
261,20000,1.0,42,0.012042665854096413,0.0013541667722165585,261,
262,35000,1.0,42,0.02875799499452114,0.004120085388422012,262,
263,50000,1.0,42,0.04140602424740791,0.007941771298646927,263,
264,65000,1.0,42,0.042910002171993256,0.01229286752641201,264,
265,80000,1.0,42,0.053155116736888885,0.017580043524503708,265,
266,20000,2.0,42,0.004502044524997473,0.0011042243568226695,266,
267,35000,2.0,42,0.011057110503315926,0.0032934369519352913,267,
268,50000,2.0,42,0.018951144069433212,0.006288497243076563,268,
269,65000,2.0,42,0.03328754007816315,0.009822126477956772,269,
270,80000,2.0,42,0.06625346839427948,0.014436786994338036,270,
271,20000,5.0,42,0.004296694416552782,0.0008352419245056808,271,
272,35000,5.0,42,0.00938967615365982,0.0025837894063442945,272,
273,50000,5.0,42,0.018801946192979813,0.005158727522939444,273,
274,65000,5.0,42,0.03382962942123413,0.00841230433434248,274,
275,80000,5.0,42,0.057895075529813766,0.012826708145439625,275,
276,20000,10.0,42,0.004827217198908329,0.0007434444851242006,276,
277,35000,10.0,42,0.009225836955010891,0.0023334596771746874,277,
278,50000,10.0,42,0.02011100947856903,0.004804025869816542,278,
279,65000,10.0,42,0.03218493610620499,0.008034915663301945,279,
280,80000,10.0,42,0.045832209289073944,0.012450003065168858,280,1.8513144254684448
281,20000,20.0,42,0.004265139810740948,0.000715628731995821,281,
282,35000,20.0,42,0.010526671074330807,0.0022893904242664576,282,
283,50000,20.0,42,0.025095369666814804,0.004791342653334141,283,
284,65000,20.0,42,0.03656325489282608,0.008091702125966549,284,
285,80000,20.0,42,0.04583486169576645,0.012582506984472275,285,
286,20000,30.0,42,0.005257880315184593,0.0007119988440535963,286,
287,35000,30.0,42,0.008934231474995613,0.002311606192961335,287,
288,50000,30.0,42,0.019423192366957664,0.004872728604823351,288,
289,65000,30.0,42,0.030174273997545242,0.008257763460278511,289,
290,80000,30.0,42,0.04554722085595131,0.012860487215220928,290,
291,20000,50.0,42,0.007721760310232639,0.0007239304250106215,291,
292,35000,50.0,42,0.008816881105303764,0.0023805848322808743,292,
293,50000,50.0,42,0.017395425587892532,0.005039847921580076,293,
294,65000,50.0,42,0.028994254767894745,0.00855188723653555,294,
295,80000,50.0,42,0.045448705554008484,0.013319584541022778,295,
296,20000,75.0,42,0.008332911878824234,0.0007530153961852193,296,
297,35000,75.0,42,0.008498813956975937,0.002512377453967929,297,
298,50000,75.0,42,0.016930049285292625,0.0053109414875507355,298,
299,65000,75.0,42,0.02826029807329178,0.008975603617727757,299,
300,80000,75.0,42,0.04254515469074249,0.013924192637205124,300,1.9761106967926025
301,20000,100.0,42,0.006534448824822903,0.0008055479847826064,301,
302,35000,100.0,42,0.007770996540784836,0.0026955732610076666,302,
303,50000,100.0,42,0.016914475709199905,0.005641681607812643,303,
304,65000,100.0,42,0.027729496359825134,0.009446214884519577,304,
305,80000,100.0,42,0.04119659215211868,0.014553812332451344,305,
306,20000,125.0,42,0.005061684176325798,0.0008805273682810366,306,
307,35000,125.0,42,0.007461858913302422,0.002907809568569064,307,
308,50000,125.0,42,0.015994377434253693,0.006004158407449722,308,
309,65000,125.0,42,0.026287220418453217,0.009957435540854931,309,
310,80000,125.0,42,0.04127106815576553,0.015254193916916847,310,
311,20000,150.0,42,0.004252925515174866,0.000983766745775938,311,
312,35000,150.0,42,0.007403925992548466,0.00318771880120039,312,
313,50000,150.0,42,0.015683162957429886,0.0065063671208918095,313,
314,65000,150.0,42,0.025927815586328506,0.010701184161007404,314,
315,80000,150.0,42,0.04135148599743843,0.016283906996250153,315,
316,20000,175.0,42,0.003714356105774641,0.001129140960983932,316,
317,35000,175.0,42,0.007894634269177914,0.003562760539352894,317,
318,50000,175.0,42,0.016753174364566803,0.007161720190197229,318,
319,65000,175.0,42,0.026880942285060883,0.011630208231508732,319,
320,80000,175.0,42,0.042219553142786026,0.017476290464401245,320,2.269606351852417
321,20000,200.0,42,0.0040099844336509705,0.0012872766237705946,321,
322,35000,200.0,42,0.008817411959171295,0.003924688324332237,322,
323,50000,200.0,42,0.01778746396303177,0.007741277571767569,323,
324,65000,200.0,42,0.028589708730578423,0.012397881597280502,324,
325,80000,200.0,42,0.045806050300598145,0.018423737958073616,325,
326,20000,1.0,42,0.00522854458540678,0.001433701254427433,326,
327,35000,1.0,42,0.011611459776759148,0.004191401414573193,327,
328,50000,1.0,42,0.020279452204704285,0.008051908574998379,328,
329,65000,1.0,42,0.034295450896024704,0.012596096843481064,329,
330,80000,1.0,42,0.06358890980482101,0.018229303881525993,330,
331,20000,2.0,42,0.004658258520066738,0.0012730902526527643,331,
332,35000,2.0,42,0.01112399436533451,0.0036142298486083746,332,
333,50000,2.0,42,0.019421378150582314,0.006786785088479519,333,
334,65000,2.0,42,0.029520200565457344,0.010500939562916756,334,
335,80000,2.0,42,0.04906842112541199,0.015245463699102402,335,
336,20000,5.0,42,0.003790750168263912,0.0009265902335755527,336,
337,35000,5.0,42,0.01089419424533844,0.0027553997933864594,337,
338,50000,5.0,42,0.020426049828529358,0.005343116819858551,338,
339,65000,5.0,42,0.02986946329474449,0.008553599007427692,339,
340,80000,5.0,42,0.044603101909160614,0.012869181111454964,340,1.866763949394226
341,20000,10.0,42,0.0031827937345951796,0.0007448255200870335,341,
342,35000,10.0,42,0.009658323600888252,0.002308287424966693,342,
343,50000,10.0,42,0.019756929948925972,0.004679826553910971,343,
344,65000,10.0,42,0.03028189204633236,0.007793937344104052,344,
345,80000,10.0,42,0.04450574517250061,0.012093914672732353,345,
