LF优化步,训练热流_W_m2,LF训练消费点数,实际LF训练目标
268,50000,512,0.0005441427929326892
269,65000,512,0.001264049205929041
270,80000,512,0.0014764596708118916
271,20000,512,0.00015467117191292346
272,35000,512,0.0005169768119230866
273,50000,512,0.0006060401792638004
274,65000,512,0.001481919432990253
275,80000,512,0.0031719401013106108
276,20000,512,0.00024108744401019067
277,35000,512,0.00025550060672685504
278,50000,512,0.001005404512397945
279,65000,512,0.0015533433761447668
280,80000,512,0.0021154098212718964
281,20000,512,0.0001646697346586734
282,35000,512,0.00027681782376021147
283,50000,512,0.0014920152025297284
284,65000,512,0.0008632487733848393
285,80000,512,0.003612683154642582
286,20000,512,0.00021110574016347528
287,35000,512,0.00037462764885276556
288,50000,512,0.000831650453619659
289,65000,512,0.0020247255451977253
290,80000,512,0.0025978744961321354
291,20000,512,7.230800110846758e-05
292,35000,512,0.0004866072558797896
293,50000,512,0.0007622468983754516
294,65000,512,0.002037172904238105
295,80000,512,0.001837194082327187
296,20000,512,9.789485193323344e-05
297,35000,512,0.00041034934110939503
298,50000,512,0.0007282523438334465
299,65000,512,0.001545715262182057
300,80000,512,0.0020924133714288473
